Name,Zone,Local Health Area,Facilities
"Signal Pointe, Calgary",Calgary,West,Long term care facilities
"Agecare Walden Heights, Calgary",Calgary,SW,Supportive living/home living sites
"Carewest Dr. Vernon Fanning Centre, Calgary",Calgary,Nosehill,Supportive living/home living sites
"Carewest Glenmore Park, Calgary",Calgary,Elbow,Supportive living/home living sites
"Chartwell Eau Claire Retirement Residence, Calgary",Calgary,Centre,Supportive living/home living sites
"Holy Cross Manor, Calgary",Calgary,North,Supportive living/home living sites
"Monterey Place, Calgary",Calgary,Lower NE,Supportive living/home living sites
"Moretâ€™a Life, Calgary",Calgary,Centre,Supportive living/home living sites
"Revera The Edgemont, Calgary",Calgary,Upper NW,Supportive living/home living sites
"Sage Hill Retirement Residence, Calgary",Calgary,Upper NW,Supportive living/home living sites
"Staywell Manor, Calgary",Calgary,Centre West,Supportive living/home living sites
"St. Theresa Place, Calgary",Calgary,Upper NE,Supportive living/home living sites
"Strafford Foundation Tudor Manor, Okotoks",Calgary,Priddis,Supportive living/home living sites
"SunVale group home, Calgary",Calgary,SE,Supportive living/home living sites
"Swan Evergreen Village, Calgary",Calgary,SW,Supportive living/home living sites
"The Mustard Seed, 1010 Building, Calgary",Calgary,Centre,Supportive living/home living sites
"United Active Living Garrison Green, Calgary",Calgary,Centre West,Supportive living/home living sites
"Whitehorn Village, Calgary",Calgary,Lower NE,Supportive living/home living sites
"1st Class Child Care, Calgary",Calgary,SE,Supportive living/home living sites
"A2Z Kidz Ed., Calgary",Calgary,Fish Creek,Supportive living/home living sites
"Active Start Childcare Country Hills Centre, Calgary",Calgary,North,Supportive living/home living sites
"Active Start Childcare Sage Hill Centre, Calgary",Calgary,Upper NW,Supportive living/home living sites
"Air Canada Cargo, Calgary",Calgary,Upper NE,Supportive living/home living sites
Airdrie Christian Daycare,Calgary,Airdrie,Supportive living/home living sites
"Alpha House, Calgary",Calgary,Centre,Supportive living/home living sites
"Amazon Sort Centre, Rocky View County",Calgary,Airdrie,Supportive living/home living sites
"Baymag, Exshaw",Calgary,Canmore,Supportive living/home living sites
"Birchwood Furniture (manufacturing), Calgary",Calgary,East,Supportive living/home living sites
