name,local health area,active cases,recovered cases,total cases,deaths,dose 1,dose 2,total dose administered,# of total outbreaks,population,population region,population ratio,age (0-14),age (15-64),age (65-84),age (85+),male,female,avg household size,non-immigrants,immigrants,recent immigrants,non pr,aboriginal,no certificate,high school,post-secondary,# of population over 15,labour participation rate,employement rate,driver+passenger,public transit,walked+bike,low income
Parkland,Fish Creek,6.0,149.0,156.0,1.0,2482.0,443.0,2925.0,1.0,3755,105190.0,0.035697309630192985,575,2335,805,45,1820,1935,2.6,3265,460,10,30,90,320,835,2030.0,3180.0,0.6,0.55,1295,155.0,35,135
Queensland,Fish Creek,8.0,188.0,197.0,2.0,3139.0,560.0,3700.0,1.0,4750,105190.0,0.04515638368666223,790,3425,495,40,2360,2390,2.6,3840,895,190,15,185,725,1280,1955.0,3965.0,0.75,0.69,2195,280.0,45,465
Southwood,Fish Creek,10.0,246.0,259.0,2.0,4114.0,734.0,4849.0,2.0,6225,105190.0,0.05917862914725734,925,4520,700,90,3095,3125,2.4,4435,1520,535,270,230,745,1595,2960.0,5300.0,0.74,0.68,2485,695.0,170,570
Willow Park,Fish Creek,9.0,213.0,223.0,2.0,3553.0,634.0,4187.0,1.0,5375,105190.0,0.05109801311911779,810,3395,1050,120,2660,2715,2.4,4240,1055,235,85,170,405,1345,2820.0,4570.0,0.67,0.6,1950,335.0,180,400
Woodbine,Fish Creek,15.0,360.0,379.0,4.0,6018.0,1074.0,7092.0,3.0,9105,105190.0,0.08655765757201254,1460,6380,1190,75,4565,4535,2.7,6730,2325,305,45,310,670,1960,5015.0,7645.0,0.71,0.64,3765,530.0,95,525
Woodlands,Fish Creek,10.0,245.0,257.0,2.0,4085.0,729.0,4814.0,2.0,6180,105190.0,0.05875083182812054,1060,4155,890,80,3045,3135,2.6,4570,1515,310,90,255,560,1365,3200.0,5120.0,0.67,0.59,2220,445.0,70,710
abbeydale,Lower NE,19.0,538.0,559.0,2.0,3559.0,503.0,4062.0,2.0,6150,86115.0,0.07141612959414737,1330,4335,450,30,3110,3035,3.1,4065,2020,510,60,420,1190,1675,1950.0,4815.0,0.71,0.63,2430,450.0,30,920
Marlborough Park,Lower NE,28.0,782.0,813.0,2.0,5170.0,731.0,5901.0,3.0,8935,86115.0,0.10375660454044011,1665,6190,1030,45,4610,4325,2.9,5785,3080,790,75,285,1930,2580,2760.0,7270.0,0.68,0.61,3490,595.0,70,1125
Marlborough,Lower NE,29.0,809.0,840.0,3.0,5347.0,756.0,6102.0,3.0,9240,86115.0,0.10729838007315799,1595,6300,1255,85,4870,4370,2.9,4845,4205,1360,195,370,1940,2585,3125.0,7645.0,0.66,0.59,3245,850.0,165,1295
Mayland Heights,Lower NE,19.0,519.0,539.0,2.0,3428.0,485.0,3913.0,2.0,5925,86115.0,0.0688033443650932,870,4190,770,90,2980,2945,2.2,4515,1325,225,85,320,895,1540,2625.0,5060.0,0.71,0.64,2425,4.4,115,760
Monterey Park,Lower NE,34.0,951.0,988.0,3.0,6287.0,888.0,7175.0,3.0,10865,86115.0,0.126168495616327,2030,7435,1280,120,5360,5510,3.4,5030,5630,845,205,245,2375,2710,3745.0,8830.0,0.69,0.62,4475,700.0,30,965
Pineridge,Lower NE,32.0,887.0,922.0,3.0,5865.0,829.0,6693.0,3.0,10135,86115.0,0.11769145909539569,1825,7070,1160,85,5080,5060,2.7,6460,3600,685,75,515,1975,2855,3475.0,8310.0,0.67,0.59,3625,870.0,90,1820
Rundle,Lower NE,35.0,986.0,1025.0,3.0,6518.0,921.0,7440.0,3.0,11265,86115.0,0.13081344713464554,2255,7695,1215,105,5670,5595,3.2,5650,5375,1705,235,425,2190,2885,3930.0,9010.0,0.65,0.57,3580,1145.0,165,1885
Temple,Lower NE,36.0,1004.0,1044.0,3.0,6640.0,938.0,7578.0,3.0,11475,86115.0,0.13325204668176277,2445,7870,1085,75,5820,5660,3.2,6970,4385,1300,120,505,2115,2960,39.6,90.35,0.69,0.62,4360,870.0,90,1505
Whitehorn,Lower NE,38.0,1061.0,1103.0,3.0,7016.0,992.0,8008.0,4.0,12125,86115.0,0.14080009289903037,2335,8480,1200,110,6190,5940,3.3,5575,6230,1920,320,215,2205,3290,4295.0,9790.0,0.68,0.61,4210,1340.0,160,1590
Scenic Acres,Lower NW,8.0,301.0,311.0,2.0,5991.0,1069.0,7060.0,0.0,8320,58890.0,0.141280353200883,1180,5905,1120,110,4150,4170,2.9,6335,18060,210,125,125,590,1715,4825.0,7140.0,0.68,0.62,3065,690.0,105,325
Silver Springs,Lower NW,8.0,322.0,333.0,2.0,6416.0,1145.0,7561.0,0.0,8910,58890.0,0.15129903209373408,1390,5990,1440,95,4435,4475,2.5,7225,1625,315,60,210,675,1780,5075.0,7520.0,0.68,0.61,3310,545.0,230,570
Tuscany,Lower NW,18.0,716.0,740.0,5.0,14251.0,2543.0,16793.0,1.0,19790,58890.0,0.3360502632025811,5505,12955,1245,85,9710,10075,3.0,14765,4745,855,285,370,1250,2735,10305.0,14290.0,0.77,0.71,7195,1535.0,215,685
University District,Lower NW,1.0,27.0,28.0,0.0,544.0,97.0,641.0,0.0,755,58890.0,0.01282051282051282,310,445,0,0,390,365,3.4,185,215,150,355,0,15,10,420.0,445.0,0.66,0.58,60,75.0,105,215
University Heights,Lower NW,3.0,100.0,103.0,1.0,1980.0,353.0,2334.0,0.0,2750,58890.0,0.046697232127695706,330,2025,330,70,1360,1390,2.1,1400,945,345,410,30,130,470,1825.0,2420.0,0.66,0.59,660,195.0,450,590
Valley Ridge,Lower NW,5.0,201.0,208.0,1.0,4007.0,715.0,4722.0,0.0,5565,58890.0,0.0944982170147733,1120,3745,675,20,2760,2805,2.9,4150,1395,265,20,110,410,890,3145.0,4440.0,0.69,0.63,2125,235.0,45,180
Varsity,Lower NW,12.0,463.0,478.0,3.0,9217.0,1645.0,10862.0,1.0,12800,58890.0,0.21735438953982,1635,8435,2330,395,6220,6580,2.3,8605,3695,880,500,155,970,2370,7820.0,11165.0,0.62,0.56,3860,1045.0,690,1455
beddington-heights,North,25.0,703.0,730.0,2.0,8296.0,1015.0,9312.0,2.0,11840,101290.0,0.11689209201303188,2180,8320,1255,90,5885,5955,2.8,7890,3830,800,120,515,1730,3100,4825.0,9665.0,0.72,0.65,4510,1125.0,170,1440
country-hills,North,8.0,224.0,233.0,1.0,2649.0,324.0,2973.0,1.0,3780,101290.0,0.03731859018659295,595,2770,395,25,1785,1995,2.7,2250,1440,310,85,85,590,840,1755.0,3185.0,0.76,0.7,1570,325.0,135,300
coventry-hills,North,37.0,1040.0,1080.0,4.0,12276.0,1502.0,13779.0,3.0,17520,101290.0,0.1729687037219864,4420,12320,755,30,8835,8680,3.2,11395,5920,1455,200,555,1885,3720,7500.0,13100.0,0.8,0.74,7780,1115.0,175,1035
country-hills-village,North,5.0,143.0,149.0,0.0,1689.0,207.0,1895.0,0.0,2410,101290.0,0.023793069404679634,285,1585,525,15,1045,1365,1.8,1500,855,190,55,30,280,565,1280.0,2130.0,0.67,0.61,1010,210.0,25,265
evanston,North,30.0,829.0,862.0,3.0,9796.0,1199.0,10995.0,3.0,13980,101290.0,0.1380195478329549,3810,9675,460,35,6925,7055,3.1,8615,5155,1165,210,285,990,2195,6985.0,10170.0,0.83,0.76,6245,660.0,95,795
Harvest Hills,North,16.0,449.0,466.0,2.0,5297.0,648.0,5946.0,1.0,7560,101290.0,0.0746371803731859,1295,5565,665,30,3790,3765,3.0,5110,2350,425,95,255,995,1910,3355.0,6265.0,0.76,0.69,3395,495.0,125,550
Hidden Valley,North,25.0,707.0,735.0,2.0,8349.0,1022.0,9371.0,2.0,11915,101290.0,0.11763254023101985,2450,8625,800,40,6065,5845,3.1,8160,3635,595,115,295,1335,2495,5640.0,9465.0,0.76,0.7,5255,690.0,65,585
Panorama Hills,North,55.0,1550.0,1611.0,5.0,18303.0,2240.0,20542.0,5.0,26120,101290.0,0.2578734327179386,6345,18065,1615,95,12995,13125,3.3,13155,12490,2515,475,265,2780,5025,11970.0,19780.0,0.76,0.69,10430,1740.0,185,2220
Sandstone Valley,North,13.0,366.0,380.0,1.0,4320.0,529.0,4848.0,1.0,6165,101290.0,0.060864843518609935,850,4450,775,90,3030,3135,2.9,3630,2435,275,100,115,920,1605,2790.0,5315.0,0.68,0.63,2615,485.0,35,435
banff-trail,Nosehill,7.0,166.0,174.0,1.0,2496.0,383.0,2880.0,1.0,3760,72285.0,0.05201632427197897,370,3090,260,40,2010,1755,2.3,2820,600,155,345,65,285,815,2290.0,3390.0,0.73,0.67,1165,560.0,295,445
brentwood,Nosehill,12.0,291.0,305.0,1.0,4371.0,672.0,5043.0,2.0,6585,72285.0,0.0910977381199419,925,4640,850,170,3410,3180,2.3,4535,1660,440,395,105,455,1230,3985.0,5655.0,0.67,0.61,2050,695.0,365,765
cambrian-heights,Nosehill,4.0,100.0,105.0,0.0,1504.0,231.0,1735.0,1.0,2265,72285.0,0.03133430172234904,355,1660,195,45,1120,1140,2.4,1825,410,50,20,40,195,515,1195.0,1905.0,0.73,0.65,955,100.0,90,205
capitol-hill,Nosehill,8.0,184.0,193.0,1.0,2768.0,425.0,3194.0,1.0,4170,72285.0,0.057688317078232,570,3245,345,20,2145,2025,2.1,3215,730,145,220,135,380,775,2445.0,3600.0,0.79,0.72,1505,490.0,330,570
charleswood,Nosehill,7.0,162.0,169.0,1.0,2426.0,373.0,2799.0,1.0,3655,72285.0,0.050563740748426365,555,2510,480,110,1905,1750,2.5,2830,660,135,165,40,295,570,2235.0,3095.0,0.66,0.59,1110,305.0,165,325
collingwood,Nosehill,4.0,95.0,100.0,0.0,1434.0,220.0,1654.0,1.0,2160,72285.0,0.029881718198796432,290,1425,335,115,1020,1135,2.4,1670,450,70,40,30,190,385,1295.0,1875.0,0.68,0.61,735,170.0,105,175
Greenview,Nosehill,4.0,91.0,95.0,0.0,1361.0,209.0,1570.0,1.0,2050,72285.0,0.02835996403126513,240,1620,145,45,1065,980,2.0,1345,620,140,75,50,320,550,940.0,1805.0,0.72,0.62,815,200.0,45,315
Highland Park,Nosehill,7.0,177.0,186.0,1.0,2665.0,409.0,3075.0,1.0,4015,72285.0,0.05554402711489244,535,3045,385,45,2065,1950,2.0,2975,945,270,90,175,540,960,1975.0,3475.0,0.73,0.65,1480,485.0,110,685
Highwood,Nosehill,4.0,91.0,96.0,0.0,1371.0,211.0,1581.0,1.0,2065,72285.0,0.02856747596320122,355,1450,200,65,985,1085,2.3,1785,255,55,30,110,205,455,1050.0,1715.0,0.75,0.71,895,145.0,55,175
Huntington Hills,Nosehill,25.0,603.0,631.0,3.0,9058.0,1392.0,10450.0,4.0,13645,72285.0,0.18876668741785985,2255,9260,1945,180,6735,6915,2.5,9850,3565,785,235,630,2120,3520,5750.0,11385.0,0.68,0.61,5175,1110.0,190,1795
Mount Pleasent,Nosehill,10.0,243.0,254.0,1.0,3651.0,561.0,4212.0,2.0,5500,72285.0,0.07608770837656499,925,4130,385,65,2852,2675,2.3,4490,920,220,95,155,435,695,3445.0,4575.0,0.75,0.69,1955,470.0,475,495
North Haven Upper,Nosehill,1.0,28.0,29.0,0.0,422.0,65.0,486.0,0.0,635,72285.0,0.008784671785294322,60,440,120,20,310,325,2.7,530,105,0,0,25,70,185,325.0,575.0,0.74,0.64,320,20.0,0,25
North Haven,Nosehill,4.0,106.0,111.0,0.0,1587.0,244.0,1830.0,1.0,2390,72285.0,0.03306356782181642,345,1560,425,60,1125,1265,2.5,1970,405,75,10,70,230,560,1250.0,2040.0,0.65,0.59,840,210.0,45,175
Queens Park Village,Nosehill,1.0,21.0,22.0,0.0,319.0,49.0,368.0,0.0,480,72285.0,0.006640381821954763,130,350,0,0,250,235,3.0,220,260,130,10,10,65,85,200.0,350.0,0.87,0.71,135,90.0,10,145
Rosemont,Nosehill,2.0,60.0,63.0,0.0,900.0,138.0,1038.0,0.0,1355,72285.0,0.018745244518226466,200,960,150,45,650,700,2.5,1185,160,30,10,55,105,275,775.0,1155.0,0.73,0.66,545,100.0,40,80
Thorncliffe,Nosehill,16.0,387.0,405.0,2.0,5815.0,893.0,6709.0,3.0,8760,72285.0,0.12118696825067442,1400,6130,1060,165,4480,4280,2.4,6000,2495,615,265,395,1295,2345,3720.0,7365.0,0.7,0.62,3290,710.0,235,1130
Tuxedo Park,Nosehill,9.0,228.0,238.0,1.0,3419.0,525.0,3944.0,2.0,5150,72285.0,0.0712457632980563,635,3960,445,110,2665,2485,2.1,3585,1495,395,70,165,980,1150,2690.0,4520.0,0.76,0.69,1865,645.0,345,635
Winston Heights/Mountview,Nosehill,7.0,161.0,169.0,1.0,2420.0,372.0,2791.0,1.0,3645,72285.0,0.05042539946046898,475,2680,420,70,1865,1780,2.1,2875,705,130,65,215,500,825,1835.0,3170.0,0.73,0.66,1520,275.0,150,380
auburn-bay,SE,30.0,861.0,895.0,4.0,10400.0,1314.0,11714.0,3.0,14850,111615.0,0.1330466335170004,4360,10260,225,0,7365,7480,3.0,11455,3155,785,240,400,845,2470,7165.0,10485.0,0.85,0.8,6450,675.0,320,715
copperfield,SE,26.0,730.0,760.0,3.0,8824.0,1115.0,9939.0,2.0,12600,111615.0,0.11288805268109126,3220,9040,335,0,6315,6285,2.7,9305,3100,910,205,385,1020,2450,5920.0,9380.0,0.85,0.78,6090,640.0,70,560
cranston,SE,37.0,1050.0,1092.0,5.0,12690.0,1603.0,14293.0,3.0,18120,111615.0,0.1623437709985217,4690,12395,1025,20,9000,9120,2.9,13360,4555,995,205,520,1250,3205,8985.0,13435.0,0.8,0.73,7800,905.0,145,765
douglasdale-glen,SE,26.0,736.0,766.0,4.0,8894.0,1124.0,10018.0,2.0,12700,111615.0,0.11378398960713165,2060,9105,1460,70,6365,6335,2.8,9670,2955,335,75,335,1300,2730,6610.0,10640.0,0.72,0.66,5460,620.0,205,435
Mahogany,SE,15.0,413.0,430.0,2.0,4990.0,630.0,5620.0,1.0,7125,111615.0,0.06383550598037899,2050,4870,205,0,3590,3535,2.9,5100,1880,515,150,165,340,1105,3635.0,5080.0,0.85,0.79,3220,335.0,30,245
Mckenzie Lake,SE,29.0,807.0,840.0,4.0,9752.0,1232.0,10984.0,2.0,13925,111615.0,0.12475921695112664,2605,10265,1010,45,7035,6890,3.0,11560,2300,420,70,315,1470,3340,6515.0,11325.0,0.77,0.7,6405,665.0,135,760
Mckenzie Towne,SE,37.0,1037.0,1079.0,5.0,12529.0,1583.0,14112.0,3.0,17890,111615.0,0.16028311606862877,4025,12685,1105,60,8815,9075,2.5,13925,3760,1085,195,575,1455,3725,8680.0,13860.0,0.81,0.74,8080,885.0,420,1070
New Brighton,SE,25.0,713.0,741.0,3.0,8610.0,1088.0,9698.0,2.0,12295,111615.0,0.11015544505666801,3315,8670,310,10,6125,6170,3.0,8460,3745,1140,90,365,850,2350,5785.0,8985.0,0.86,0.79,5875,610.0,145,585
Red Carpet,SE,4.0,105.0,109.0,1.0,1271.0,161.0,1432.0,0.0,1815,111615.0,0.01626125520763338,235,1275,285,25,920,895,2.0,1420,385,75,10,135,455,520,610.0,1585.0,0.65,0.57,730,135.0,15,225
Shepard Industrial,SE,1.0,17.0,18.0,0.0,207.0,26.0,233.0,0.0,295,111615.0,0.0026430139318192,15,215,50,10,175,115,1.8,275,15,0,0,15,55,95,135.0,280.0,0.66,0.61,155,0.0,0,30
bridlewood,SW,26.0,744.0,778.0,8.0,8775.0,1371.0,10146.0,2.0,12795,103860.0,0.1231946851530907,3045,9035,690,20,6265,6535,3.1,6660,5850,1780,285,290,1140,2590,6025.0,9750.0,0.77,0.69,5055,1180.0,120,890
chaparral,SW,27.0,784.0,819.0,8.0,9242.0,1444.0,10685.0,2.0,13475,103860.0,0.1297419603312151,3455,9150,840,35,6700,6775,3.2,10375,3010,710,90,365,1205,2435,6380.0,10015.0,0.76,0.69,5350,710.0,80,600
evergreen,SW,42.0,1236.0,1291.0,13.0,14567.0,2276.0,16843.0,3.0,21240,103860.0,0.2045060658578856,4840,14805,1515,85,10475,10765,3.1,11655,9245,2040,340,475,1840,3945,10625.0,16405.0,0.75,0.68,7780,2095.0,155,1285
Legacy,SW,5.0,135.0,141.0,1.0,1588.0,248.0,1836.0,0.0,2315,103860.0,0.022289620643173504,455,1745,100,10,1135,1175,2.6,1350,905,360,55,55,180,445,1240.0,1860.0,0.84,0.77,1165,165.0,10,170
Midnapore,SW,13.0,382.0,399.0,4.0,4499.0,703.0,5202.0,1.0,6560,103860.0,0.06316194877720008,1075,4590,825,75,3310,3250,2.4,5255,1235,200,70,215,680,1675,3135.0,5485.0,0.72,0.66,2690,470.0,100,730
Millrise,SW,13.0,393.0,410.0,4.0,4629.0,723.0,5352.0,1.0,6750,103860.0,0.06499133448873484,1135,4865,660,95,3315,3435,2.6,4170,2435,635,145,170,700,1575,3340.0,5615.0,0.75,0.65,2685,750.0,75,540
Shawnee Slopes,SW,3.0,90.0,94.0,1.0,1063.0,166.0,1229.0,0.0,1550,103860.0,0.014923936067783555,200,1010,305,35,720,830,2.4,1100,440,45,20,40,95,385,875.0,1355.0,0.63,0.57,540,105.0,0,35
Shawnessy,SW,19.0,552.0,577.0,6.0,6505.0,1016.0,7521.0,1.0,9485,103860.0,0.09132486038898517,1450,7055,960,20,4805,4685,2.9,5975,3360,845,155,280,990,2545,4505.0,8040.0,0.75,0.68,3790,1110.0,140,760
Silverado,SW,14.0,406.0,424.0,4.0,4780.0,747.0,5527.0,1.0,6970,103860.0,0.06710957057577509,1640,5045,270,10,3395,3575,3.0,3890,3020,570,60,155,435,1190,3705.0,5330.0,0.8,0.72,2670,815.0,40,395
Somerset,SW,18.0,513.0,536.0,6.0,6049.0,945.0,6994.0,1.0,8820,103860.0,0.08492201039861352,1625,6355,750,80,4420,4395,2.8,4570,4040,1060,210,210,890,1960,4340.0,7190.0,0.74,0.66,3010,1160.0,150,755
Sundance,SW,20.0,595.0,622.0,6.0,7013.0,1095.0,8108.0,1.0,10225,103860.0,0.09844983631812054,1660,7540,940,85,5105,5120,3.0,8100,2030,315,95,265,1010,2405,5155.0,8565.0,0.73,0.65,4290,595.0,135,440
Walden,SW,7.0,214.0,223.0,2.0,2520.0,394.0,2914.0,1.0,3675,103860.0,0.0353841709994223,890,2615,130,45,1850,1825,2.8,1975,1640,410,60,65,260,570,1955.0,2785.0,0.82,0.74,1485,315.0,70,105
castleridge,Upper NE,35.0,936.0,977.0,5.0,4692.0,449.0,5141.0,3.0,6465,92265.0,0.07006990733214112,1415,4520,515,20,3270,3195,3.4,3165,3120,1090,185,315,1320,1660,2070.0,5050.0,0.72,0.64,2315,660.0,80,990
cityscape,Upper NE,9.0,246.0,256.0,1.0,1230.0,118.0,1348.0,1.0,1695,92265.0,0.01837099658592099,565,1065,60,0,835,865,3.9,635,1020,335,40,0,170,275,690.0,1135.0,0.77,0.69,650,120.0,0,280
coral-springs,Upper NE,33.0,885.0,923.0,5.0,4434.0,424.0,4858.0,3.0,6110,92265.0,0.06622229447786268,965,4380,685,85,3050,3065,4.0,2590,3475,430,50,80,1230,1585,2340.0,5150.0,0.68,0.62,2555,435.0,25,300
Falconridge,Upper NE,59.0,1577.0,1646.0,9.0,7903.0,756.0,8659.0,5.0,10890,92265.0,0.1180295886847667,2690,7525,630,50,5520,5375,3.2,5660,4955,1740,280,505,1935,2720,3555.0,8200.0,0.73,0.64,4010,975.0,115,1920
Martindale,Upper NE,82.0,2176.0,2270.0,13.0,10900.0,1043.0,11943.0,7.0,15020,92265.0,0.16279195794721726,3545,10415,1030,30,7725,7295,3.8,6115,8495,2180,410,370,2745,3880,4850.0,11475.0,0.72,0.66,5740,1335.0,75,1640
Redstone,Upper NE,14.0,367.0,383.0,2.0,1840.0,176.0,2016.0,1.0,2535,92265.0,0.02747520728336856,635,1825,70,10,1245,1285,3.5,1120,1400,470,15,35,330,530,1045.0,1905.0,0.78,0.69,1060,200.0,10,140
Saddle Ridge,Upper NE,106.0,2828.0,2951.0,16.0,14169.0,1356.0,15525.0,8.0,19525,92265.0,0.21161870698531404,5010,13340,1100,75,9910,9615,4.1,6780,12330,3415,410,205,3100,4415,7000.0,14515.0,0.73,0.66,7280,1845.0,65,1920
Skyview Ranch,Upper NE,46.0,1223.0,1276.0,7.0,6129.0,586.0,6715.0,4.0,8445,92265.0,0.09152983254755324,2020,6025,385,10,4275,4170,3.1,3820,4495,1210,135,135,980,1640,3810.0,6430.0,0.8,0.73,3760,640.0,20,555
Taradale,Upper NE,105.0,2800.0,2921.0,16.0,14028.0,1342.0,15370.0,8.0,19330,92265.0,0.209505229501978,5170,13115,970,70,9700,9630,4.1,6825,12110,3440,400,205,3065,4300,6795.0,14155.0,0.73,0.65,7030,1745.0,95,2340
Vista Heights,Upper NE,12.0,326.0,340.0,2.0,1633.0,156.0,1789.0,1.0,2250,92265.0,0.02438627865387742,520,1460,265,10,1130,1115,2.9,1350,850,210,45,85,310,470,940.0,1725.0,0.68,0.58,685,145.0,95,395
arbour-lake,Upper NW,14.0,492.0,509.0,3.0,7267.0,1115.0,8383.0,2.0,10760,117205.0,0.09180495712640245,1690,7395,1440,240,5265,5495,2.8,6745,3825,650,185,165,1145,2195,5730.0,9070.0,0.67,0.59,3760,945.0,130,655
citadel,Upper NW,13.0,477.0,493.0,3.0,7048.0,1082.0,8129.0,2.0,10435,117205.0,0.0890320378823429,2075,7605,710,45,5125,5310,3.0,6380,3925,585,135,200,985,1965,5419.0,8360.0,0.76,0.68,4340,855.0,70,735
dalhousie,Upper NW,12.0,415.0,429.0,2.0,6136.0,942.0,7078.0,2.0,9085,117205.0,0.07751375794548014,1455,6085,1365,185,4535,4555,2.5,5850,2780,855,455,205,765,1730,5140.0,7630.0,0.64,0.57,2695,1025.0,250,1100
edgemont,Upper NW,21.0,729.0,754.0,4.0,10772.0,1653.0,12426.0,3.0,15950,117205.0,0.1360863444392304,2500,10960,2345,140,7950,8000,3.0,8955,6700,955,295,160,1305,2930,9210.0,13450.0,0.63,0.56,5415,1045.0,180,1330
Hamptons,Upper NW,10.0,357.0,369.0,2.0,5275.0,810.0,6084.0,2.0,7810,117205.0,0.0666353824495542,950,5635,1135,95,3845,3965,3.2,3625,4125,265,55,45,1015,1535,4310.0,6860.0,0.61,0.56,2820,445.0,80,490
Hawkwood,Upper NW,13.0,450.0,465.0,3.0,6649.0,1020.0,7670.0,2.0,9845,117205.0,0.08399812294697326,1505,6940,1220,180,4880,4965,3.0,6220,3475,415,140,180,820,2015,5505.0,8335.0,0.66,0.58,3590,650.0,105,615
Kincora,Upper NW,8.0,278.0,287.0,2.0,4103.0,630.0,4733.0,1.0,6075,117205.0,0.05183225971588243,1605,4140,310,20,2965,3110,3.1,3485,2535,480,50,95,380,1055,3035.0,4470.0,0.79,0.71,2560,285.0,35,365
Macewan Glen,Upper NW,7.0,231.0,239.0,1.0,3414.0,524.0,3938.0,1.0,5055,117205.0,0.043129559319141676,875,3670,465,50,2525,2530,2.8,3810,1180,215,55,100,505,1200,2480.0,4185.0,0.72,0.66,2060,360.0,60,430
Nolan Hill,Upper NW,5.0,180.0,186.0,1.0,2661.0,408.0,3069.0,1.0,3940,117205.0,0.03361631329721428,1030,2830,70,10,1985,1950,3.1,2025,1820,435,95,40,230,545,2135.0,2910.0,0.81,0.73,1740,205.0,45,180
