name,local health area,active cases,recovered cases,total cases,deaths,dose 1,dose 2,total dose administered,# of total outbreaks,population,population region,population ratio,age (0-14),age (15-64),age (65-84),age (85+),male,female,avg household size,non-immigrants,immigrants,recent immigrants,non pr,aboriginal,no certificate,high school,post-secondary,# of population over 15,labour participation rate,employement rate,driver+passenger,public transit,walked+bike,low income
CPR IRVINE (6110) ( 12.6%),Bonnie Doon,0.0,8.0,8.0,0.0,139.0,25.0,164.0,0.0,0.0,89895.0,0.0022248178430391012,0,195,0,0,115,80,2.1,160,20,0,15,15,0,70,125,195,84.6,79.5,90,25,20,
FOREST HEIGHTS (6230) ( 1.9%),Bonnie Doon,2.0,148.0,155.0,5.0,2663.0,471.0,3134.0,0.0,163.0,89895.0,0.04254964124812281,425,2720,550,125,1940,1880,2.6,3165,580,75,80,230,525,830,2045,3395,68.8,62.7,1605,295,80,390.0
FULTON PLACE (6240) ( 4.8%),Bonnie Doon,1.0,85.0,89.0,3.0,1532.0,271.0,1802.0,0.0,54.0,89895.0,0.024472996273430112,250,1495,365,85,1125,1075,2.6,2005,175,25,20,160,270,475,1195,1950,63.2,56.8,805,140,65,115.0
GOLD BAR (6270) ( 7.8%),Bonnie Doon,2.0,109.0,114.0,3.0,1963.0,347.0,2310.0,0.0,88.0,89895.0,0.03136993158685133,510,1890,360,60,1360,1455,2.9,2465,295,130,60,190,365,710,1240,2310,70.8,63.9,1185,135,80,290.0
HAZELDEAN (6290) ( 7.1%),Bonnie Doon,2.0,127.0,133.0,4.0,2280.0,403.0,2683.0,0.0,119.0,89895.0,0.03643139217976528,590,2365,275,45,1705,1570,2.7,2860,375,120,45,320,345,695,1645,2690,75.0,66.9,1305,170,190,305.0
HOLYROOD (6310) ( 4.5%),Bonnie Doon,2.0,130.0,136.0,4.0,2339.0,414.0,2753.0,0.0,126.0,89895.0,0.0373769397630569,540,2365,390,65,1690,1675,2.8,2960,365,50,35,185,360,740,1720,2825,70.4,65.2,1385,225,105,255.0
IDYLWYLDE (6320) ( 3.3%),Bonnie Doon,1.0,67.0,70.0,2.0,1201.0,212.0,1413.0,0.0,33.0,89895.0,0.019189053896212248,185,1110,370,65,805,920,2.5,1300,350,115,70,120,215,365,965,1545,59.5,53.4,560,190,15,180.0
KENILWORTH (6350) ( 5.6%),Bonnie Doon,2.0,98.0,103.0,3.0,1768.0,313.0,2081.0,0.0,72.0,89895.0,0.028255186606596584,295,1660,515,75,1235,1305,2.6,2110,390,55,40,190,400,610,1235,2245,63.8,59.2,1110,125,30,155.0
KING EDWARD PARK (6360) ( 7.4%),Bonnie Doon,3.0,181.0,189.0,6.0,3258.0,576.0,3834.0,0.0,244.0,89895.0,0.052060737527114966,570,3715,320,80,2430,2250,2.6,3890,665,180,135,330,695,1065,2355,4110,76.9,70.4,2195,375,155,450.0
MAPLE RIDGE (6410) ( 5.1%),Bonnie Doon,1.0,66.0,69.0,2.0,1180.0,209.0,1389.0,0.0,32.0,89895.0,0.018855331219756383,205,1225,255,15,875,825,2.5,1580,120,10,0,140,380,540,575,1490,65.4,59.7,755,105,0,215.0
MAPLE RIDGE INDUSTRIAL (6420) ( 29.4%),Bonnie Doon,0.0,4.0,5.0,0.0,80.0,14.0,94.0,0.0,0.0,89895.0,0.0012792702597474832,15,55,45,0,65,50,2.7,90,25,0,0,15,20,30,50,105,60.0,45.0,25,0,0,
OTTEWELL (6550) ( 5.7%),Bonnie Doon,4.0,223.0,233.0,7.0,4010.0,709.0,4719.0,0.0,369.0,89895.0,0.06407475387952612,755,3840,975,190,2905,2850,2.8,4945,755,210,60,345,765,1255,2980,5005,65.0,58.1,2225,315,185,275.0
RITCHIE (6610) ( 8.2%),Bonnie Doon,3.0,158.0,165.0,5.0,2840.0,502.0,3343.0,0.0,185.0,89895.0,0.04538628399799766,380,3240,385,80,2035,2045,2.5,3310,650,215,120,220,420,840,2440,3695,75.7,69.7,1830,335,230,420.0
STRATHEARN (6710) ( 5.9%),Bonnie Doon,2.0,96.0,100.0,3.0,1726.0,305.0,2032.0,0.0,68.0,89895.0,0.027587741253684853,370,1885,190,35,1250,1230,2.7,2010,435,135,35,215,200,510,1395,2105,76.0,69.1,1085,190,95,235.0
TERRACE HEIGHTS (6730) ( 2.5%),Bonnie Doon,1.0,87.0,91.0,3.0,1573.0,278.0,1852.0,0.0,57.0,89895.0,0.025140441626341842,390,1620,190,55,1115,1145,2.8,1720,470,210,70,175,310,530,1025,1865,70.0,65.7,830,175,155,375.0
LAGO LINDO (2450) ( 3.8%),Castle Downs,8.0,290.0,299.0,1.0,2207.0,367.0,2574.0,0.0,210.0,69790.0,0.05480727897979653,670,2745,395,15,1950,1875,3.0,2910,910,100,0,200,500,1030,1625,3155,72.7,66.2,1705,235,25,345.0
BARANOW (3020) ( 8.1%),Castle Downs,4.0,132.0,136.0,1.0,1004.0,167.0,1171.0,0.0,43.0,69790.0,0.024931938673162343,355,1185,185,15,820,920,2.7,975,735,240,35,55,285,355,740,1380,67.4,63.4,740,70,30,410.0
BATURYN (3030) ( 4.3%),Castle Downs,10.0,374.0,386.0,2.0,2851.0,474.0,3325.0,0.0,350.0,69790.0,0.07078377991116205,1010,3270,625,35,2485,2460,3.0,3840,1045,120,60,395,785,1285,1855,3930,64.0,58.1,1890,250,35,570.0
BEAUMARIS (3040) ( 6.6%),Castle Downs,9.0,345.0,356.0,1.0,2628.0,437.0,3066.0,0.0,297.0,69790.0,0.06526723026221522,780,2645,970,165,2140,2415,3.0,2890,1620,350,50,210,810,1195,1770,3780,54.2,49.3,1540,175,25,740.0
CAERNARVON (3060) ( 5.2%),Castle Downs,9.0,334.0,344.0,1.0,2542.0,423.0,2965.0,0.0,278.0,69790.0,0.06311792520418398,945,2940,500,20,2110,2295,3.1,2925,1380,365,105,270,685,1155,1620,3460,68.5,61.6,1685,235,45,770.0
CANOSSA (3080) ( 4.0%),Castle Downs,7.0,259.0,267.0,1.0,1973.0,328.0,2302.0,0.0,168.0,69790.0,0.04900415532311219,765,2390,240,25,1685,1735,3.1,2345,1055,105,25,90,465,765,1425,2655,77.5,71.7,1620,160,20,185.0
CARLISLE (3090) ( 4.9%),Castle Downs,8.0,297.0,306.0,1.0,2259.0,376.0,2635.0,0.0,220.0,69790.0,0.05609686201461527,845,2610,420,35,2030,1885,3.2,2610,1275,315,35,295,765,995,1310,3070,69.4,60.6,1540,165,35,605.0
GRIESBACH (3111) ( 7.3%),Castle Downs,9.0,338.0,349.0,1.0,2577.0,429.0,3005.0,0.0,286.0,69790.0,0.06397764722739648,1110,3015,315,25,2120,2350,3.0,3300,1125,215,45,280,425,810,2120,3355,77.8,73.6,2090,205,20,190.0
CHAMBERY (3120) ( 6.6%),Castle Downs,6.0,206.0,212.0,1.0,1570.0,261.0,1831.0,0.0,106.0,69790.0,0.03897406505229976,775,1825,105,20,1350,1370,3.6,1810,900,70,15,85,305,605,1035,1945,77.6,74.0,1240,100,0,245.0
CUMBERLAND (3150) ( 0.5%),Castle Downs,13.0,495.0,511.0,2.0,3774.0,628.0,4402.0,0.0,613.0,69790.0,0.09370970053016192,1520,4640,365,20,3245,3295,3.1,4380,2030,280,130,160,740,1500,2785,5020,77.6,71.6,3010,285,75,255.0
DUNLUCE (3180) ( 5.3%),Castle Downs,13.0,495.0,511.0,2.0,3774.0,628.0,4402.0,0.0,613.0,69790.0,0.09370970053016192,1340,4505,660,35,3305,3230,3.0,4925,1540,390,70,515,1055,1725,2420,5200,69.9,63.3,2640,425,70,1130.0
ELSINORE (3190) ( 1.1%),Castle Downs,4.0,156.0,161.0,1.0,1192.0,198.0,1390.0,0.0,61.0,69790.0,0.02958876629889669,335,1360,320,50,945,1115,3.0,1475,585,50,0,20,245,420,1065,1730,69.3,64.6,950,100,20,45.0
LORELEI (3280) ( 6.0%),Castle Downs,9.0,330.0,340.0,1.0,2513.0,418.0,2931.0,0.0,272.0,69790.0,0.06240149018484024,885,2860,585,25,2205,2155,3.1,2815,1440,375,105,360,765,1100,1605,3475,63.4,57.2,1565,260,45,765.0
