name,local health area,Zone,active cases,recovered cases,total cases,deaths,dose 1,dose 2,total dose administered,# of total outbreaks,population,population region,population ratio,age (0-14),age (15-64),age (65-84),age (85+),male,female,avg household size,non-immigrants,immigrants,recent immigrants,non pr,aboriginal,no certificate,high school,post-secondary,# of population over 15,labour participation rate,employement rate,driver+passenger,public transit,walked+bike,low income
TERRACE HEIGHTS (6730) ( 2.5%),Bonnie Doon,Edmonton,1,87,91,3,1573,278,1852,0,57,89895,0.025140442,390,1620,190,55,1115,1145,2.8,1720,470,210,70,175,310,530,1025,1865,70,65.7,830,175,155,375
LAGO LINDO (2450) ( 3.8%),Castle Downs,Edmonton,8,290,299,1,2207,367,2574,0,210,69790,0.054807279,670,2745,395,15,1950,1875,3,2910,910,100,0,200,500,1030,1625,3155,72.7,66.2,1705,235,25,345
BARANOW (3020) ( 8.1%),Castle Downs,Edmonton,4,132,136,1,1004,167,1171,0,43,69790,0.024931939,355,1185,185,15,820,920,2.7,975,735,240,35,55,285,355,740,1380,67.4,63.4,740,70,30,410
BATURYN (3030) ( 4.3%),Castle Downs,Edmonton,10,374,386,2,2851,474,3325,0,350,69790,0.07078378,1010,3270,625,35,2485,2460,3,3840,1045,120,60,395,785,1285,1855,3930,64,58.1,1890,250,35,570
BEAUMARIS (3040) ( 6.6%),Castle Downs,Edmonton,9,345,356,1,2628,437,3066,0,297,69790,0.06526723,780,2645,970,165,2140,2415,3,2890,1620,350,50,210,810,1195,1770,3780,54.2,49.3,1540,175,25,740
CAERNARVON (3060) ( 5.2%),Castle Downs,Edmonton,9,334,344,1,2542,423,2965,0,278,69790,0.063117925,945,2940,500,20,2110,2295,3.1,2925,1380,365,105,270,685,1155,1620,3460,68.5,61.6,1685,235,45,770
CANOSSA (3080) ( 4.0%),Castle Downs,Edmonton,7,259,267,1,1973,328,2302,0,168,69790,0.049004155,765,2390,240,25,1685,1735,3.1,2345,1055,105,25,90,465,765,1425,2655,77.5,71.7,1620,160,20,185
CARLISLE (3090) ( 4.9%),Castle Downs,Edmonton,8,297,306,1,2259,376,2635,0,220,69790,0.056096862,845,2610,420,35,2030,1885,3.2,2610,1275,315,35,295,765,995,1310,3070,69.4,60.6,1540,165,35,605
GRIESBACH (3111) ( 7.3%),Castle Downs,Edmonton,9,338,349,1,2577,429,3005,0,286,69790,0.063977647,1110,3015,315,25,2120,2350,3,3300,1125,215,45,280,425,810,2120,3355,77.8,73.6,2090,205,20,190
CHAMBERY (3120) ( 6.6%),Castle Downs,Edmonton,6,206,212,1,1570,261,1831,0,106,69790,0.038974065,775,1825,105,20,1350,1370,3.6,1810,900,70,15,85,305,605,1035,1945,77.6,74,1240,100,0,245
CUMBERLAND (3150) ( 0.5%),Castle Downs,Edmonton,13,495,511,2,3774,628,4402,0,613,69790,0.093709701,1520,4640,365,20,3245,3295,3.1,4380,2030,280,130,160,740,1500,2785,5020,77.6,71.6,3010,285,75,255
DUNLUCE (3180) ( 5.3%),Castle Downs,Edmonton,13,495,511,2,3774,628,4402,0,613,69790,0.093709701,1340,4505,660,35,3305,3230,3,4925,1540,390,70,515,1055,1725,2420,5200,69.9,63.3,2640,425,70,1130
ELSINORE (3190) ( 1.1%),Castle Downs,Edmonton,4,156,161,1,1192,198,1390,0,61,69790,0.029588766,335,1360,320,50,945,1115,3,1475,585,50,0,20,245,420,1065,1730,69.3,64.6,950,100,20,45
LORELEI (3280) ( 6.0%),Castle Downs,Edmonton,9,330,340,1,2513,418,2931,0,272,69790,0.06240149,885,2860,585,25,2205,2155,3.1,2815,1440,375,105,360,765,1100,1605,3475,63.4,57.2,1565,260,45,765
OXFORD (3320) ( 2.7%),Castle Downs,Edmonton,8,296,305,1,2253,375,2628,0,218,69790,0.055953575,760,2800,330,10,1925,1980,3.3,2380,1470,240,50,120,580,935,1625,3140,70.6,65.3,1735,180,35,355
PEMBINA (3340) ( 9.1%),Castle Downs,Edmonton,1,42,44,0,323,54,377,0,4,69790,0.008024072,70,395,85,10,290,270,2.6,340,215,25,10,15,95,115,280,490,70.1,66,285,0,20,80
RAPPERSWILL (3370) ( 5.2%),Castle Downs,Edmonton,5,180,185,1,1370,228,1598,0,81,69790,0.034030663,555,1770,45,0,1185,1195,3.1,1440,900,350,35,65,225,420,1180,1820,84.3,79.7,1260,105,35,30
ALBANY (3460) ( 8.8%),Castle Downs,Edmonton,3,102,105,0,776,129,905,0,26,69790,0.019272102,315,995,30,10,700,645,3,840,485,110,20,25,110,295,625,1030,85.4,81.1,740,40,10,90
CARLTON (3470) ( 5.0%),Castle Downs,Edmonton,11,400,412,2,3047,507,3554,0,399,69790,0.075655538,1380,3565,320,15,2600,2685,3.2,3470,1665,285,145,145,590,1040,2275,3905,77.2,72.7,2450,175,40,395
HUDSON (3480) ( 6.0%),Castle Downs,Edmonton,5,191,197,1,1454,242,1696,0,91,69790,0.036108325,505,1875,130,10,1265,1250,3.3,1480,1015,210,25,45,405,575,1035,2010,75.1,68.9,1195,95,50,130
DECOTEAU (6663) ( 5.6%),Castle Downs,Edmonton,1,24,25,0,185,31,215,0,1,69790,0.004585184,60,215,45,0,180,140,2.9,215,105,20,0,20,40,70,150,260,69.8,67.9,140,0,0,20
BLUE QUILL (5060) ( 5.9%),Duggan,Edmonton,7,217,232,8,3028,578,3606,1,558,37480,0.122065101,840,3335,385,10,2335,2235,2.9,2340,1865,915,375,140,460,855,2425,3735,71.1,64.3,1560,620,70,730
DUGGAN (5160) ( 7.8%),Duggan,Edmonton,7,217,232,8,3031,579,3610,1,560,37480,0.122198506,850,3085,590,55,2240,2340,3,3000,1455,565,125,235,460,910,2360,3730,66.5,60.6,1590,350,170,460
EMPIRE PARK (5170) ( 7.9%),Duggan,Edmonton,8,255,273,10,3564,680,4244,1,774,37480,0.143676628,695,4380,295,20,2785,2595,2.7,2955,1555,770,880,250,470,1615,2605,4690,70.1,62.3,1635,895,295,1130
ERMINESKIN (5180) ( 7.8%),Duggan,Edmonton,8,250,268,10,3491,666,4158,1,742,37480,0.140741729,760,3580,785,145,2570,2705,2.8,3045,1940,765,290,205,585,1045,2885,4520,66,59.9,1800,610,155,825
GREENFIELD (5220) ( 4.9%),Duggan,Edmonton,6,183,196,7,2555,488,3042,1,398,37480,0.10298826,590,2500,710,60,1925,1935,2.9,3075,740,110,40,130,370,720,2185,3275,65.8,61.2,1465,280,115,250
MALMO PLAINS (5280) ( 2.7%),Duggan,Edmonton,5,153,164,6,2138,408,2546,1,278,37480,0.086179296,740,2135,310,40,1580,1645,3,1705,995,480,540,105,150,390,1950,2495,66.1,60,770,540,80,655
RIDEAU PARK (5360) ( 6.6%),Duggan,Edmonton,2,80,86,3,1122,214,1336,0,77,37480,0.04522412,210,1035,385,60,895,800,2.8,940,675,155,80,95,210,410,855,1480,59.8,54.7,555,150,40,225
ROYAL GARDENS (5430) ( 6.0%),Duggan,Edmonton,5,171,183,7,2393,457,2849,1,349,37480,0.096451441,660,2550,360,50,1740,1875,3,2245,1225,385,140,180,410,715,1825,2950,68.5,62.1,1235,380,95,585
STEINHAUER (5470) ( 3.1%),Duggan,Edmonton,3,98,105,4,1363,260,1624,0,113,37480,0.054962647,350,1360,320,30,965,1090,2.9,1370,660,150,30,55,165,410,1130,1705,67.2,60.7,735,150,60,180
SWEET GRASS (5490) ( 4.9%),Duggan,Edmonton,4,129,138,5,1804,344,2148,1,198,37480,0.072705443,515,1870,330,10,1285,1440,2.9,1760,855,220,105,80,250,530,1435,2205,70.3,65.1,995,295,35,435
UNIVERSITY OF ALBERTA (5520) ( 13.2%),Duggan,Edmonton,0,5,6,0,73,14,87,0,0,37480,0.002934899,0,110,0,0,30,75,0,55,0,0,50,10,0,55,55,110,42.9,38.1,10,10,15,
UNIVERSITY OF ALBERTA FARM (5530) ( 11.4%),Duggan,Edmonton,1,18,19,1,245,47,292,0,4,37480,0.009871932,30,295,40,0,190,180,2.5,255,75,15,35,15,55,75,205,335,83.6,76.1,170,55,10,20
ALBERTA AVENUE (1010) ( 8.5%),Eastwood,Edmonton,12,461,488,14,4479,682,5161,1,801,57240,0.118273934,930,5140,625,65,3445,3325,2.8,4800,1830,460,140,700,1505,1625,2705,5835,69.5,61.3,2480,690,215,1120
BOYLE STREET (1020) ( 11.6%),Eastwood,Edmonton,9,344,363,11,3338,508,3846,1,445,57240,0.088137666,460,3820,595,165,2710,2330,2.4,2985,1805,430,250,515,1090,1255,2235,4580,62.3,55,1500,580,255,1485
CENTRAL MCDOUGALL (1030) ( 9.0%),Eastwood,Edmonton,8,308,325,10,2987,455,3442,1,356,57240,0.078878407,565,3635,280,30,2420,2100,2.7,2335,1960,875,215,420,985,1115,1840,3950,67.9,59.1,1150,690,405,1290
CROMDALE (1070) ( 8.8%),Eastwood,Edmonton,3,130,137,4,1260,192,1452,0,63,57240,0.033280922,215,1490,170,30,985,915,2.4,1195,620,245,85,220,335,395,955,1690,68.5,62.6,720,265,40,385
DELTON (1080) ( 5.4%),Eastwood,Edmonton,4,146,155,5,1419,216,1635,0,80,57240,0.037473795,290,1605,225,30,1155,995,2.8,1650,485,80,20,210,495,540,830,1860,68.8,62.1,905,145,20,230
DOWNTOWN (1090) ( 8.6%),Eastwood,Edmonton,19,734,776,23,7129,1085,8214,1,2028,57240,0.188242488,305,9680,715,70,5685,5085,2.2,6590,2655,960,1530,475,495,2435,7535,10470,78.3,73.1,3095,1515,2640,2235
EASTWOOD (1100) ( 13.3%),Eastwood,Edmonton,7,280,296,9,2716,413,3129,1,294,57240,0.071715584,650,2975,425,50,2185,1920,2.8,2895,1130,285,80,660,1050,1080,1325,3455,60.3,53.1,1150,500,75,1165
ELMWOOD PARK (1130) ( 12.3%),Eastwood,Edmonton,2,81,85,3,784,119,903,0,25,57240,0.020702306,190,870,110,15,650,530,2.8,875,270,55,35,215,315,340,345,995,69.2,62.1,440,95,10,215
MCCAULEY (1140) ( 6.8%),Eastwood,Edmonton,7,253,268,8,2461,375,2836,0,242,57240,0.064989518,475,2815,375,50,2045,1670,2.9,2135,1470,290,115,455,1150,760,1325,3240,57.3,48.9,860,365,260,1130
PARKDALE (1160) ( 7.6%),Eastwood,Edmonton,7,249,263,8,2418,368,2786,0,233,57240,0.063853948,575,2695,335,50,1955,1700,2.8,2545,1050,240,60,525,830,840,1405,3085,67.4,58.2,1195,365,85,685
RIVERDALE (1210) ( 3.9%),Eastwood,Edmonton,4,138,146,4,1340,204,1544,0,72,57240,0.035377358,275,1480,265,10,940,1085,2.6,1710,305,55,15,130,130,345,1280,1750,75.2,71.2,800,110,210,105
ROSSDALE (1220) ( 4.6%),Eastwood,Edmonton,2,62,65,2,599,91,690,0,14,57240,0.015810622,45,765,80,10,515,390,2.3,725,150,30,35,35,60,150,650,855,83.6,77.2,415,90,100,85
VIRGINIA PARK (1240) ( 3.0%),Eastwood,Edmonton,1,43,46,1,420,64,484,0,7,57240,0.011093641,55,385,155,45,270,365,2.7,555,80,0,0,45,115,135,335,580,62.4,57.3,215,60,35,115
BELLEVUE (2060) ( 4.4%),Eastwood,Edmonton,2,74,78,2,715,109,823,0,20,57240,0.018867925,140,770,140,25,515,565,2.7,900,140,10,30,75,110,210,610,935,72.2,65.8,440,90,30,95
HIGHLANDS (2330) ( 4.5%),Eastwood,Edmonton,5,179,190,6,1743,265,2009,0,121,57240,0.046034242,350,1875,350,55,1340,1290,2.6,2260,335,55,35,150,275,545,1465,2285,73.1,68.7,1205,175,55,145
MONTROSE (2550) ( 6.2%),Eastwood,Edmonton,6,215,228,7,2091,318,2409,0,174,57240,0.05520615,460,2315,335,50,1595,1565,2.9,2410,725,220,25,385,715,850,1140,2700,65,56.9,1155,265,50,550
NEWTON (2560) ( 5.5%),Eastwood,Edmonton,5,203,215,6,1972,300,2272,0,155,57240,0.052061495,460,2095,395,30,1555,1430,2.7,2255,695,120,35,310,655,765,1100,2525,65.9,58.2,1150,220,20,275
CRESTWOOD (3140) ( 6.5%),Jasper Place,Edmonton,2,64,70,3,655,129,783,0,59,93155,0.025065751,385,1495,385,70,1105,1230,2.9,1905,405,20,25,70,225,395,1325,1950,67.3,65,1010,75,65,145
LAURIER HEIGHTS (3270) ( 4.1%),Jasper Place,Edmonton,2,72,79,4,739,145,884,0,75,93155,0.02828619,415,1675,340,210,1280,1350,2.9,2295,320,20,25,65,190,445,1585,2220,66.2,62.8,1095,60,65,115
PARKVIEW (3330) ( 2.2%),Jasper Place,Edmonton,3,90,98,5,925,182,1107,0,117,93155,0.03542483,565,2160,505,65,1625,1680,2.9,2845,440,60,15,130,255,575,1905,2730,69,65,1385,125,75,160
ALDERGROVE (4020) ( 4.5%),Jasper Place,Edmonton,5,150,164,8,1538,302,1840,0,323,93155,0.058880361,970,3995,475,40,2680,2805,3,3760,1600,505,120,475,760,1390,2365,4510,73.3,66.3,2170,520,120,615
BELMEAD (4040) ( 4.4%),Jasper Place,Edmonton,5,131,143,7,1342,264,1605,0,246,93155,0.051366003,925,3260,555,55,2330,2460,3.1,2935,1695,330,160,250,655,1035,2180,3870,70.2,63.1,1805,430,100,595
DECHENE (4110) ( 4.5%),Jasper Place,Edmonton,2,45,49,2,460,90,550,0,29,93155,0.017605067,220,1105,290,25,795,840,2.9,1160,470,45,10,45,170,400,850,1420,68,66.2,735,80,20,20
DONSDALE (4120) ( 3.0%),Jasper Place,Edmonton,1,32,34,2,322,63,386,0,14,93155,0.012345016,160,830,160,0,570,580,3,720,420,0,10,25,100,245,645,990,69.2,67.7,555,25,20,20
GARIEPY (4160) ( 5.2%),Jasper Place,Edmonton,2,53,57,3,540,106,646,0,40,93155,0.020664484,310,1255,350,10,935,990,2.9,1410,505,30,0,65,130,395,1090,1615,69.3,64.7,800,90,15,110
JAMIESON PLACE (4220) ( 3.3%),Jasper Place,Edmonton,4,108,118,6,1108,218,1325,0,167,93155,0.042402448,575,2975,350,40,1970,1975,3.1,2705,1220,220,20,115,380,1000,1985,3370,76.3,71.7,1925,215,65,105
LYMBURN (4270) ( 3.7%),Jasper Place,Edmonton,6,163,177,9,1665,327,1993,0,379,93155,0.063764693,1120,4300,500,20,2900,3040,3.1,4090,1750,240,100,385,770,1510,2535,4820,76.6,70.6,2705,460,55,530
LYNNWOOD (4280) ( 6.0%),Jasper Place,Edmonton,4,102,111,5,1044,205,1250,0,149,93155,0.039987118,645,2625,370,90,1910,1820,2.8,2410,1110,470,210,230,490,900,1690,3085,69.6,63.5,1305,485,85,430
OLESKIW (4360) ( 6.1%),Jasper Place,Edmonton,3,87,95,5,892,175,1067,0,109,93155,0.034136654,480,2030,610,55,1540,1640,3,2360,815,55,10,75,215,535,1955,2695,63.6,59.9,1300,70,30,140
ORMSBY PLACE (4380) ( 5.6%),Jasper Place,Edmonton,5,144,156,8,1469,289,1758,0,295,93155,0.056250335,950,3790,485,20,2595,2650,3,3515,1690,335,35,445,660,1280,2350,4290,71.8,66.4,2250,335,80,560
PATRICIA HEIGHTS (4390) ( 6.8%),Jasper Place,Edmonton,2,48,52,3,491,96,587,0,33,93155,0.018785894,315,1265,160,10,930,825,2.9,1330,405,195,20,110,175,405,855,1435,74.9,70,750,165,35,195
QUESNELL HEIGHTS (4420) ( 4.6%),Jasper Place,Edmonton,0,9,9,0,88,17,106,0,1,93155,0.003381461,55,210,45,0,170,150,3.1,285,25,10,0,10,20,40,200,260,78.4,76.5,155,10,10,20
RIO TERRACE (4430) ( 6.7%),Jasper Place,Edmonton,1,35,38,2,360,71,431,0,18,93155,0.013794214,225,800,230,30,640,645,2.9,1110,165,15,10,40,70,240,750,1060,62.3,59,485,50,20,30
THE HAMPTONS (4461) ( 4.6%),Jasper Place,Edmonton,11,325,354,17,3327,653,3980,0,1511,93155,0.127368365,3115,8345,400,0,5775,6095,3.2,7645,4080,930,135,420,880,2240,5635,8750,82.1,76.6,5620,620,90,660
EDGEMONT (4462) ( 3.0%),Jasper Place,Edmonton,1,41,44,2,415,82,496,0,24,93155,0.015887499,395,1015,70,0,760,715,3,920,540,280,25,35,80,255,750,1085,84.3,80.6,725,60,10,70
RIVERVIEW AREA (4463) ( 5.1%),Jasper Place,Edmonton,0,13,14,1,130,26,156,0,2,93155,0.004991681,85,325,55,0,245,220,3.5,410,55,0,0,15,60,135,185,385,59.7,57.1,195,0,0,45
CAMERON HEIGHTS (4466) ( 2.1%),Jasper Place,Edmonton,2,50,54,3,512,101,612,0,36,93155,0.019591004,495,1205,130,0,920,905,3.1,1320,475,70,25,100,105,275,945,1325,75.9,72.2,805,30,0,70
STEWART GREENS (4486) ( 4.0%),Jasper Place,Edmonton,0,11,12,1,109,21,131,0,2,93155,0.004186571,80,310,0,0,215,175,3.4,200,185,80,10,0,50,65,200,315,80.6,77.4,185,25,0,10
SECORD (4487) ( 3.8%),Jasper Place,Edmonton,3,98,106,5,1000,196,1196,0,136,93155,0.038269551,915,2530,120,0,1805,1755,3.1,2085,1420,460,55,145,270,520,1855,2650,84.7,79.4,1790,170,10,125
GRANVILLE (4551) ( 4.5%),Jasper Place,Edmonton,2,55,60,3,564,111,674,0,43,93155,0.021576942,515,1440,45,10,1075,935,3.3,1125,810,290,75,30,150,370,980,1500,81.3,74.7,900,110,15,105
WEDGEWOOD HEIGHTS (4570) ( 4.8%),Jasper Place,Edmonton,2,48,52,3,486,96,582,0,32,93155,0.018624873,310,1250,155,25,805,930,3,1295,435,50,10,40,120,410,895,1425,68.3,62,760,20,15,90
WESTRIDGE (4610) ( 4.1%),Jasper Place,Edmonton,1,40,43,2,405,80,485,0,22,93155,0.015511781,255,845,325,15,700,745,3,1155,270,25,25,35,90,230,875,1190,64.3,60.9,570,20,20,85
WESTVIEW VILLAGE (4620) ( 5.8%),Jasper Place,Edmonton,1,42,45,2,428,84,512,0,25,93155,0.016370565,195,1050,285,0,690,840,2.7,1415,105,10,10,130,445,420,465,1330,68.4,61.7,670,90,25,125
WINTERBURN INDUSTRIAL AREA WEST (4670) ( 8.6%),Jasper Place,Edmonton,1,19,21,1,195,38,233,0,5,93155,0.007460684,85,465,140,0,370,320,2.3,630,60,10,0,105,130,215,260,605,70.2,62.8,315,30,15,75
BRECKENRIDGE GREENS (4700) ( 3.8%),Jasper Place,Edmonton,2,52,57,3,534,105,639,0,39,93155,0.020449788,340,1350,200,15,940,960,3,1420,480,40,0,75,150,405,1015,1565,75.1,68.7,975,60,0,35
POTTER GREENS (4710) ( 3.9%),Jasper Place,Edmonton,1,42,45,2,425,83,508,0,25,93155,0.016263217,205,960,325,20,745,765,2.8,1135,375,20,10,55,170,355,790,1315,67.2,64.5,710,50,0,45
GLASTONBURY (4720) ( 2.3%),Jasper Place,Edmonton,6,178,194,10,1825,359,2184,0,455,93155,0.069883527,1310,4585,515,100,3165,3350,3,4435,1970,300,110,230,680,1360,3160,5200,76.9,72.5,3150,330,95,230
