num,name,local_health_area,zone,active_cases,recovered_cases,total_cases,deaths,dose_1,dose_2,total_dose_administered,number_of_total_outbreaks,outbreak_severity,population,population_region,population_ratio,age_0_14,age_15_64,age_65_84,age_85,male,female,avg_household_size,non_immigrants,immigrants,recent_immigrants,non_pr,aboriginal,no_certificate,high_school,post_secondary,number_of_population_over_15,labour_participation_rate,employement_rate,driver_passenger,public_transit,walked_bike,low_income
22,FOREST HEIGHTS (6230) ( 1.9%),Bonnie Doon,Edmonton,2,148,155,5,2663,471,3134,0,safe,163,89895,0.042549641,425,2720,550,125,1940,1880,2.6,3165,580,75,80,230,525,830,2045.0,3395.0,68.8,62.7,1605,295.0,80,390.0
23,FULTON PLACE (6240) ( 4.8%),Bonnie Doon,Edmonton,1,85,89,3,1532,271,1802,0,safe,54,89895,0.024472996,250,1495,365,85,1125,1075,2.6,2005,175,25,20,160,270,475,1195.0,1950.0,63.2,56.8,805,140.0,65,115.0
24,GOLD BAR (6270) ( 7.8%),Bonnie Doon,Edmonton,2,109,114,3,1963,347,2310,0,safe,88,89895,0.031369932,510,1890,360,60,1360,1455,2.9,2465,295,130,60,190,365,710,1240.0,2310.0,70.8,63.9,1185,135.0,80,290.0
25,HAZELDEAN (6290) ( 7.1%),Bonnie Doon,Edmonton,2,127,133,4,2280,403,2683,0,safe,119,89895,0.036431392,590,2365,275,45,1705,1570,2.7,2860,375,120,45,320,345,695,1645.0,2690.0,75.0,66.9,1305,170.0,190,305.0
26,HOLYROOD (6310) ( 4.5%),Bonnie Doon,Edmonton,2,130,136,4,2339,414,2753,0,safe,126,89895,0.03737694,540,2365,390,65,1690,1675,2.8,2960,365,50,35,185,360,740,1720.0,2825.0,70.4,65.2,1385,225.0,105,255.0
27,IDYLWYLDE (6320) ( 3.3%),Bonnie Doon,Edmonton,1,67,70,2,1201,212,1413,0,safe,33,89895,0.019189054,185,1110,370,65,805,920,2.5,1300,350,115,70,120,215,365,965.0,1545.0,59.5,53.4,560,190.0,15,180.0
28,KENILWORTH (6350) ( 5.6%),Bonnie Doon,Edmonton,2,98,103,3,1768,313,2081,0,safe,72,89895,0.028255187,295,1660,515,75,1235,1305,2.6,2110,390,55,40,190,400,610,1235.0,2245.0,63.8,59.2,1110,125.0,30,155.0
29,KING EDWARD PARK (6360) ( 7.4%),Bonnie Doon,Edmonton,3,181,189,6,3258,576,3834,0,safe,244,89895,0.052060738,570,3715,320,80,2430,2250,2.6,3890,665,180,135,330,695,1065,2355.0,4110.0,76.9,70.4,2195,375.0,155,450.0
30,MAPLE RIDGE (6410) ( 5.1%),Bonnie Doon,Edmonton,1,66,69,2,1180,209,1389,0,safe,32,89895,0.018855331,205,1225,255,15,875,825,2.5,1580,120,10,0,140,380,540,575.0,1490.0,65.4,59.7,755,105.0,0,215.0
31,MAPLE RIDGE INDUSTRIAL (6420) ( 29.4%),Bonnie Doon,Edmonton,0,4,5,0,80,14,94,0,safe,0,89895,0.00127927,15,55,45,0,65,50,2.7,90,25,0,0,15,20,30,50.0,105.0,60.0,45.0,25,0.0,0,
32,OTTEWELL (6550) ( 5.7%),Bonnie Doon,Edmonton,4,223,233,7,4010,709,4719,0,safe,369,89895,0.064074754,755,3840,975,190,2905,2850,2.8,4945,755,210,60,345,765,1255,2980.0,5005.0,65.0,58.1,2225,315.0,185,275.0
33,RITCHIE (6610) ( 8.2%),Bonnie Doon,Edmonton,3,158,165,5,2840,502,3343,0,safe,185,89895,0.045386284,380,3240,385,80,2035,2045,2.5,3310,650,215,120,220,420,840,2440.0,3695.0,75.7,69.7,1830,335.0,230,420.0
34,STRATHEARN (6710) ( 5.9%),Bonnie Doon,Edmonton,2,96,100,3,1726,305,2032,0,safe,68,89895,0.027587741,370,1885,190,35,1250,1230,2.7,2010,435,135,35,215,200,510,1395.0,2105.0,76.0,69.1,1085,190.0,95,235.0
35,TERRACE HEIGHTS (6730) ( 2.5%),Bonnie Doon,Edmonton,1,87,91,3,1573,278,1852,0,safe,57,89895,0.025140442,390,1620,190,55,1115,1145,2.8,1720,470,210,70,175,310,530,1025.0,1865.0,70.0,65.7,830,175.0,155,375.0
36,LAGO LINDO (2450) ( 3.8%),Castle Downs,Edmonton,8,290,299,1,2207,367,2574,0,safe,210,69790,0.054807279,670,2745,395,15,1950,1875,3.0,2910,910,100,0,200,500,1030,1625.0,3155.0,72.7,66.2,1705,235.0,25,345.0
37,BARANOW (3020) ( 8.1%),Castle Downs,Edmonton,4,132,136,1,1004,167,1171,0,safe,43,69790,0.024931939,355,1185,185,15,820,920,2.7,975,735,240,35,55,285,355,740.0,1380.0,67.4,63.4,740,70.0,30,410.0
