num,name,local_health_area,zone,active_cases,recovered_cases,total_cases,deaths,dose_1,dose_2,total_dose_administered,number_of_total_outbreaks,outbreak_severity,population,population_region,population_ratio,age_0_14,age_15_64,age_65_84,age_85,male,female,avg_household_size,non_immigrants,immigrants,recent_immigrants,non_pr,aboriginal,no_certificate,high_school,post_secondary,number_of_population_over_15,labour_participation_rate,employement_rate,driver_passenger,public_transit,walked_bike,low_income
289,Sunalta,Centre,Calgary,7,226,234,1,2653,328,2981,1,mild,203,50992,0.063049106,330,2775,115,0,1630,1590,1.7,2210,875,325,135,150,170,675,2045.0,2885.0,0.87,0.79,1135,545.0,455,545.0
290,bridgeland-riverside,Centre North,Calgary,5,282,301,14,4205,758,4963,1,mild,773,38900,0.141002571,610,4170,605,105,2665,2820,1.8,4090,1265,315,130,225,555,1155,3165.0,4875.0,0.73,0.68,1765,510.0,680,965.0
291,crescent-heights,Centre North,Calgary,6,300,320,15,4481,808,5289,1,mild,878,38900,0.150257069,555,4700,540,60,2985,2860,1.8,4170,1490,350,185,160,420,1215,3655.0,5295.0,0.81,0.74,2020,510.0,1030,655.0
292,Hillhurst,Centre North,Calgary,5,277,296,14,4136,746,4882,1,mild,748,38900,0.138688946,815,4105,450,20,2610,2790,2.0,4180,1030,210,190,120,250,800,3530.0,4585.0,0.78,0.71,1545,490.0,825,645.0
293,Hounsfield Heights/Brirar Hill,Centre North,Calgary,2,123,131,6,1832,330,2163,0,safe,147,38900,0.061439589,355,1625,340,70,1195,1190,2.3,1915,400,55,70,80,185,485,1370.0,2035.0,0.64,0.58,630,225.0,150,220.0
294,Renfrew,Centre North,Calgary,6,339,362,17,5064,913,5977,1,mild,1121,38900,0.169794344,965,5205,370,65,3200,3395,2.1,5430,1110,190,65,255,485,1255,3900.0,5635.0,0.81,0.75,2660,530.0,680,545.0
295,Rosedale,Centre North,Calgary,2,83,89,4,1238,223,1461,0,safe,67,38900,0.04151671,260,1140,205,10,795,825,2.7,1310,270,40,30,10,125,235,1000.0,1355.0,0.65,0.54,385,45.0,185,120.0
296,St. Andrews Heights,Centre North,Calgary,1,72,77,4,1073,193,1267,0,safe,50,38900,0.035989717,190,1020,160,30,695,705,2.4,1060,270,30,70,40,65,205,940.0,1210.0,0.7,0.64,395,140.0,185,70.0
297,Sunnyside​,Centre North,Calgary,4,198,212,10,2963,534,3497,1,mild,384,38900,0.099357326,260,3320,245,40,1900,1965,1.7,3015,660,130,185,95,110,580,2910.0,3605.0,0.85,0.78,1145,490.0,950,400.0
298,West Hillhurst,Centre North,Calgary,6,323,345,16,4830,871,5701,1,mild,1020,38900,0.161953728,1075,4545,605,70,3125,3175,2.2,5000,1125,210,175,165,375,880,3970.0,5225.0,0.77,0.72,2155,455.0,710,520.0
299,altadore,Centre West,Calgary,9,331,343,3,4827,817,5645,2,severe,773,59540,0.113957004,1360,4990,390,45,3265,3525,2.3,5690,915,255,180,160,340,945,4140.0,5425.0,0.8,0.74,2875,455.0,265,445.0
300,bankview,Centre West,Calgary,7,253,262,2,3686,624,4309,1,mild,451,59540,0.087000336,400,4480,290,15,2670,2505,1.6,3930,1095,300,155,210,350,1225,3205.0,4785.0,0.85,0.77,2280,620.0,495,885.0
301,currie-barracks,Centre West,Calgary,1,38,39,0,548,93,641,0,safe,10,59540,0.012932482,165,545,60,0,380,395,2.8,580,190,75,0,25,20,105,480.0,605.0,0.73,0.69,275,55.0,25,35.0
302,Garrison Woods,Centre West,Calgary,4,134,139,1,1953,331,2284,1,mild,127,59540,0.04610346,565,1920,230,30,1270,1475,2.2,2250,430,85,65,60,100,280,1800.0,2180.0,0.78,0.74,2220,165.0,125,80.0
303,Glamorgan,Centre West,Calgary,8,302,313,3,4408,746,5154,2,severe,645,59540,0.104047699,905,4460,765,70,2985,3215,2.2,4615,1510,595,70,200,565,1595,3135.0,5295.0,0.74,0.66,2530,425.0,230,680.0
304,Glenbrook,Centre West,Calgary,10,355,368,3,5173,875,6048,2,severe,888,59540,0.122102788,1270,5220,670,105,3535,3740,2.3,5235,1890,585,145,375,795,1700,3505.0,6000.0,0.74,0.66,2665,680.0,270,1055.0
305,Glendale,Centre West,Calgary,4,141,146,1,2056,348,2404,1,mild,140,59540,0.048538797,495,2055,305,45,1480,1410,2.6,2325,525,65,45,65,265,685,1445.0,2395.0,0.73,0.67,910,340.0,115,280.0
306,Killarney Glengarry,Centre West,Calgary,10,367,380,3,5347,905,6252,2,severe,949,59540,0.126217669,1075,5795,555,90,3680,3840,2.1,5760,1480,470,275,245,665,1345,4430.0,6440.0,0.8,0.74,3090,920.0,310,735.0
307,Lakeview,Centre West,Calgary,7,266,276,2,3881,657,4538,2,severe,500,59540,0.09161908,855,3495,945,165,2690,2765,2.4,4535,855,150,65,190,445,1035,3125.0,4605.0,0.64,0.58,1895,250.0,225,425.0
308,Lincoln Park,Centre West,Calgary,3,93,97,1,1362,231,1593,1,mild,62,59540,0.032163252,355,1280,210,70,790,1120,1.9,1340,495,115,80,85,180,435,940.0,1560.0,0.64,0.56,635,95.0,95,645.0
309,Richmond,Centre West,Calgary,6,232,241,2,3390,574,3964,1,mild,381,59540,0.080030232,735,3625,355,50,2425,2335,2.2,3835,855,210,70,135,305,805,2920.0,4035.0,0.8,0.74,1895,490.0,600,445.0
310,Rutland Park​,Centre West,Calgary,3,111,116,1,1626,275,1901,1,mild,88,59540,0.038377561,360,1480,405,40,1040,1250,2.4,1795,475,30,25,45,305,610,1020.0,1930.0,0.69,0.63,820,190.0,95,170.0
311,South Calgary,Centre West,Calgary,5,200,207,2,2910,493,3403,1,mild,281,59540,0.068693315,485,3340,235,30,2055,2035,1.9,3285,710,210,90,155,300,770,2540.0,3605.0,0.82,0.77,1825,420.0,255,435.0
312,Garrison Green,Centre West,Calgary,2,82,85,1,1195,202,1398,0,safe,47,59540,0.028216325,420,1200,55,0,800,880,2.4,1350,305,60,30,35,60,190,1015.0,1260.0,0.82,0.77,720,80.0,50,95.0
313,albert-park-radisson-heights,East,Calgary,19,456,482,8,3734,507,4241,2,severe,686,64245,0.103354347,1140,4840,600,65,3490,3150,2.5,4065,2355,720,220,410,1360,1630,2510.0,5500.0,0.72,625.0,2875,455.0,265,1240.0
314,applewood-park,East,Calgary,19,470,497,8,3852,523,4375,2,severe,730,64245,0.106623084,1265,5010,525,40,3460,3385,3.1,3260,3435,740,145,105,1455,2085,2035.0,5575.0,0.74,0.67,2960,600.0,20,705.0
315,dover,East,Calgary,31,749,792,13,6135,833,6968,3,severe,1853,64245,0.169818663,1700,7555,1530,120,5550,5360,2.3,8275,2400,445,230,740,2570,3005,3630.0,9205.0,0.66,0.59,4380,760.0,85,1815.0
316,erin-woods,East,Calgary,20,487,515,8,3989,542,4531,2,severe,784,64245,0.11043661,1620,5015,430,25,3510,3585,3.0,4840,2155,540,95,530,1445,2050,1980.0,5470.0,0.76,0.69,3040,495.0,75,900.0
317,Forest Heights,East,Calgary,18,432,457,7,3540,481,4020,2,severe,617,64245,0.097984279,1190,4420,655,40,3225,3070,2.9,3655,2480,745,160,310,1460,1535,2115.0,5105.0,0.68,0.6,2215,680.0,135,955.0
318,Forest Lawn,East,Calgary,21,508,537,9,4164,566,4729,2,severe,854,64245,0.115261888,1165,5420,740,85,4095,3310,2.5,5200,2005,665,200,765,2145,2030,2070.0,6240.0,0.65,0.56,2510,635.0,160,1520.0
319,Ogden,East,Calgary,24,590,624,10,4836,657,5493,3,severe,1151,64245,0.133862557,1295,6225,1005,70,4505,4095,2.3,7155,1345,345,105,535,1645,2325,3340.0,7305.0,0.7,0.64,3620,645.0,140,1075.0
320,Penbrooke Meadows,East,Calgary,24,592,626,10,4850,659,5508,3,severe,1158,64245,0.134251693,1665,6010,895,60,4455,4175,2.8,5460,3010,680,155,505,2265,2235,2460.0,6965.0,0.67,0.6,3185,730.0,60,1270.0
321,Southview,East,Calgary,5,125,132,2,1026,139,1166,1,mild,52,64245,0.02840688,265,1290,230,35,1010,810,2.2,14010,330,70,80,125,410,445,705.0,1555.0,0.68,0.59,645,155.0,55,270.0
322,bayview,Elbow,Calgary,1,26,27,1,395,93,488,0,safe,11,50890,0.014541167,150,395,155,40,340,405,3.0,635,100,0,10,15,35,105,450.0,595.0,0.55,0.51,210,15.0,10,10.0
323,bel-aire,Elbow,Calgary,0,13,14,0,206,48,254,0,safe,3,50890,0.007565337,40,250,75,20,180,200,2.8,315,65,0,0,0,20,70,260.0,350.0,0.56,0.49,120,0.0,10,15.0
324,britannia,Elbow,Calgary,1,25,26,0,387,91,478,0,safe,10,50890,0.014246414,130,495,75,30,365,365,2.7,580,115,20,30,0,40,100,460.0,600.0,0.63,0.57,225,30.0,25,55.0
325,chinook-park,Elbow,Calgary,2,53,56,1,820,192,1012,0,safe,46,50890,0.030163097,265,1050,175,45,775,760,2.7,1200,330,90,10,10,105,270,900.0,1275.0,0.65,0.6,480,130.0,65,95.0
326,cliff-bungalow,Elbow,Calgary,2,66,69,1,1007,236,1243,0,safe,70,50890,0.037040676,105,1625,145,10,940,945,1.6,1495,345,85,50,85,75,280,1430.0,1780.0,0.85,0.81,615,130.0,580,230.0
327,eagle-ridge,Elbow,Calgary,0,11,11,0,168,39,208,0,safe,2,50890,0.006189821,60,175,70,0,150,160,2.8,270,45,0,0,0,20,75,160.0,250.0,0.56,0.52,100,10.0,0,0.0
328,elbow-park,Elbow,Calgary,3,119,125,2,1835,430,2265,0,safe,232,50890,0.067498526,770,2260,370,35,1710,1725,3.1,2960,350,15,125,50,190,405,2075.0,2670.0,0.68,0.62,1080,95.0,200,110.0
329,elboya,Elbow,Calgary,2,57,59,1,871,204,1075,0,safe,52,50890,0.032029868,290,1115,2220,15,860,775,2.3,1265,285,45,90,15,135,285,920.0,1345.0,0.73,0.68,625,110.0,80,135.0
330,erlton,Elbow,Calgary,1,44,47,1,684,160,844,0,safe,32,50890,0.025152289,105,1075,90,15,670,615,1.9,1050,210,45,20,55,65,195,915.0,1175.0,0.82,0.75,450,120.0,195,45.0
331,Kelvin Grove,Elbow,Calgary,2,68,71,1,1042,244,1286,0,safe,75,50890,0.038317941,295,1340,245,70,935,1020,2.3,1450,405,110,95,20,140,445,1080.0,1655.0,0.69,0.62,790,100.0,55,180.0
332,Lower Mount Royal,Elbow,Calgary,3,111,116,2,1707,400,2107,0,safe,201,50890,0.062782472,115,2815,250,10,1660,1535,1.5,2250,795,250,155,75,200,685,2200.0,3080.0,0.83,0.74,1055,385.0,710,500.0
333,Mayfair,Elbow,Calgary,0,17,17,0,254,59,313,0,safe,4,50890,0.009333857,95,330,40,0,230,245,3.2,380,60,0,30,0,15,85,280.0,380.0,0.67,0.58,140,15.0,0,10.0
334,Meadowlark Park,Elbow,Calgary,1,22,24,0,345,81,425,0,safe,8,50890,0.012674396,90,480,45,30,345,300,2.4,470,175,30,0,10,50,130,375.0,555.0,0.73,0.61,220,65.0,45,10.0
335,North Glenmore Park,Elbow,Calgary,3,90,95,2,1386,325,1711,0,safe,132,50890,0.050992336,435,1770,320,65,1295,1300,2.5,2230,360,15,10,105,235,605,1320.0,2160.0,0.69,0.63,1020,120.0,80,150.0
336,Oakridge,Elbow,Calgary,6,202,212,4,3101,726,3828,1,mild,662,50890,0.114069562,910,3690,1145,60,2865,2935,2.5,4515,1240,190,40,120,455,1055,3385.0,4895.0,0.65,0.6,2130,285.0,120,305.0
337,Palliser,Elbow,Calgary,3,120,125,2,1838,430,2268,0,safe,233,50890,0.067596777,435,2005,845,160,1660,1780,2.0,2395,980,210,70,105,255,865,1885.0,3005.0,0.59,0.53,1110,220.0,85,345.0
338,Parkhill,Elbow,Calgary,2,60,63,1,919,215,1134,0,safe,58,50890,0.033798389,255,1255,210,0,855,865,2.2,1335,345,95,45,45,110,300,1055.0,1470.0,0.74,0.67,620,125.0,90,220.0
339,Pump Hill,Elbow,Calgary,1,50,53,1,772,181,953,0,safe,41,50890,0.028394577,210,830,355,45,670,770,2.5,1070,325,15,45,25,160,280,795.0,1235.0,0.54,0.5,455,30.0,30,125.0
340,Rideau Park,Elbow,Calgary,1,22,23,0,334,78,412,0,safe,8,50890,0.012281391,55,405,130,30,320,305,2.0,530,95,20,0,0,30,75,460.0,565.0,0.69,0.59,190,35.0,50,10.0
341,Riverbend​,Elbow,Calgary,10,337,354,7,5182,1214,6396,1,mild,1849,50890,0.190607192,1305,7500,825,75,4935,4765,2.8,7435,2190,325,80,315,1180,2495,4720.0,8395.0,0.77,0.71,4705,590.0,240,390.0
342,Roxboro,Elbow,Calgary,0,15,15,0,227,53,280,0,safe,4,50890,0.008351346,55,330,30,0,215,210,2.8,370,60,0,0,0,45,55,270.0,370.0,0.65,0.62,130,10.0,55,15.0
343,Upper Mount Royal,Elbow,Calgary,3,87,92,2,1344,315,1658,0,safe,124,50890,0.049420318,320,1835,315,50,1270,1245,2.4,1975,450,65,80,45,165,420,1615.0,2200.0,0.66,0.61,730,95.0,215,205.0
344,Windsor Park,Elbow,Calgary,4,154,161,3,2364,554,2918,1,mild,385,50890,0.08695225,510,3365,465,85,2065,2365,1.9,2735,1520,560,170,95,330,960,2625.0,3915.0,0.74,0.67,1600,500.0,335,670.0
345,acadia,Fish Creek,Calgary,17,413,434,4,6897,1231,8128,3,severe,1035,105190,0.099201445,1375,7340,1485,235,5245,5185,2.2,7710,2495,695,225,500,1385,2660,5005.0,9055.0,0.7,0.61,3880,865.0,395,1270.0
346,bonavista-downs,Fish Creek,Calgary,1,35,37,0,582,104,685,0,safe,7,105190,0.008365814,140,615,115,10,455,425,2.3,770,115,20,0,30,105,235,400.0,740.0,0.76,0.71,455,40.0,10,55.0
347,braeside,Fish Creek,Calgary,10,240,252,2,4002,714,4716,2,severe,349,105190,0.057562506,940,4215,835,65,2975,3080,2.4,4680,1315,290,60,135,605,1510,3005.0,5115.0,0.72,0.65,2580,355.0,100,420.0
348,canyon-meadows,Fish Creek,Calgary,13,309,325,3,5162,921,6083,2,severe,580,105190,0.074246601,1080,5575,1090,70,3895,3915,2.5,5660,1990,400,155,265,740,1830,4150.0,6730.0,0.71,0.63,3025,660.0,120,495.0
349,cedarbrae,Fish Creek,Calgary,10,251,264,3,4190,748,4938,2,severe,382,105190,0.060271889,1000,4395,880,70,3120,3220,2.4,4780,1465,395,100,370,745,1500,3100.0,5345.0,0.73,0.65,2665,465.0,85,700.0
350,deer-ridge,Fish Creek,Calgary,7,162,170,2,2710,484,3194,1,mild,160,105190,0.038977089,840,2870,365,30,1975,2120,2.7,3440,620,85,35,190,600,1020,1635.0,3260.0,0.76,0.68,1730,250.0,45,490.0
351,deer-run,Fish Creek,Calgary,8,203,213,2,3384,604,3988,1,mild,249,105190,0.048673828,740,3655,690,30,2630,2485,2.5,4240,850,135,30,85,470,1415,2495.0,4375.0,0.72,0.66,2310,275.0,55,290.0
352,diamond-cove,Fish Creek,Calgary,1,33,34,0,545,97,643,0,safe,6,105190,0.007842951,110,530,180,10,435,390,2.5,625,200,25,0,10,55,185,480.0,720.0,0.62,0.56,335,25.0,0,35.0
353,fairview,Fish Creek,Calgary,6,150,158,2,2505,447,2952,1,mild,137,105190,0.036030041,555,2735,420,85,1945,1845,2.4,2700,975,315,120,110,510,970,1755.0,3235.0,0.71,0.65,1530,335.0,115,325.0
354,Haysboro,Fish Creek,Calgary,12,283,298,3,4736,845,5581,2,severe,488,105190,0.06811484,830,5300,835,205,3600,3565,2.1,5215,1780,470,165,170,730,1685,3925.0,6335.0,0.74,0.67,2810,860.0,235,675.0
355,Kingsland,Fish Creek,Calgary,8,189,198,2,3153,563,3715,1,mild,216,105190,0.045346516,655,3565,460,90,2385,2385,2.1,2920,1585,560,265,180,580,1210,2320.0,4110.0,0.75,0.65,1735,480.0,315,710.0
356,Lake Bonavista,Fish Creek,Calgary,17,416,437,4,6953,1241,8194,3,severe,1052,105190,0.100009507,1695,6645,1985,195,5260,5265,2.6,8800,1645,125,80,250,755,2185,5890.0,8825.0,0.65,0.59,3825,615.0,215,350.0
357,Maple Ridge,Fish Creek,Calgary,3,79,83,1,1315,235,1550,1,mild,38,105190,0.018918148,260,1270,420,40,975,1025,2.5,1770,220,0,10,35,160,555,1020.0,1735.0,0.64,0.59,790,85.0,10,55.0
358,Parkland,Fish Creek,Calgary,6,149,156,1,2482,443,2925,1,mild,134,105190,0.03569731,575,2335,805,45,1820,1935,2.6,3265,460,10,30,90,320,835,2030.0,3180.0,0.6,0.55,1295,155.0,35,135.0
359,Queensland,Fish Creek,Calgary,8,188,197,2,3139,560,3700,1,mild,214,105190,0.045156384,790,3425,495,40,2360,2390,2.6,3840,895,190,15,185,725,1280,1955.0,3965.0,0.75,0.69,2195,280.0,45,465.0
360,Southwood,Fish Creek,Calgary,10,246,259,2,4114,734,4849,2,severe,368,105190,0.059178629,925,4520,700,90,3095,3125,2.4,4435,1520,535,270,230,745,1595,2960.0,5300.0,0.74,0.68,2485,695.0,170,570.0
361,Willow Park,Fish Creek,Calgary,9,213,223,2,3553,634,4187,1,mild,275,105190,0.051098013,810,3395,1050,120,2660,2715,2.4,4240,1055,235,85,170,405,1345,2820.0,4570.0,0.67,0.6,1950,335.0,180,400.0
362,Woodbine,Fish Creek,Calgary,15,360,379,4,6018,1074,7092,3,severe,788,105190,0.086557658,1460,6380,1190,75,4565,4535,2.7,6730,2325,305,45,310,670,1960,5015.0,7645.0,0.71,0.64,3765,530.0,95,525.0
363,Woodlands,Fish Creek,Calgary,10,245,257,2,4085,729,4814,2,severe,363,105190,0.058750832,1060,4155,890,80,3045,3135,2.6,4570,1515,310,90,255,560,1365,3200.0,5120.0,0.67,0.59,2220,445.0,70,710.0
364,abbeydale,Lower NE,Calgary,19,538,559,2,3559,503,4062,2,severe,439,86115,0.07141613,1330,4335,450,30,3110,3035,3.1,4065,2020,510,60,420,1190,1675,1950.0,4815.0,0.71,0.63,2430,450.0,30,920.0
365,Marlborough Park,Lower NE,Calgary,28,782,813,2,5170,731,5901,3,severe,927,86115,0.103756605,1665,6190,1030,45,4610,4325,2.9,5785,3080,790,75,285,1930,2580,2760.0,7270.0,0.68,0.61,3490,595.0,70,1125.0
366,Marlborough,Lower NE,Calgary,29,809,840,3,5347,756,6102,3,severe,991,86115,0.10729838,1595,6300,1255,85,4870,4370,2.9,4845,4205,1360,195,370,1940,2585,3125.0,7645.0,0.66,0.59,3245,850.0,165,1295.0
367,Mayland Heights,Lower NE,Calgary,19,519,539,2,3428,485,3913,2,severe,408,86115,0.068803344,870,4190,770,90,2980,2945,2.2,4515,1325,225,85,320,895,1540,2625.0,5060.0,0.71,0.64,2425,4.4,115,760.0
368,Monterey Park,Lower NE,Calgary,34,951,988,3,6287,888,7175,3,severe,1371,86115,0.126168496,2030,7435,1280,120,5360,5510,3.4,5030,5630,845,205,245,2375,2710,3745.0,8830.0,0.69,0.62,4475,700.0,30,965.0
369,Pineridge,Lower NE,Calgary,32,887,922,3,5865,829,6693,3,severe,1193,86115,0.117691459,1825,7070,1160,85,5080,5060,2.7,6460,3600,685,75,515,1975,2855,3475.0,8310.0,0.67,0.59,3625,870.0,90,1820.0
370,Rundle,Lower NE,Calgary,35,986,1025,3,6518,921,7440,3,severe,1474,86115,0.130813447,2255,7695,1215,105,5670,5595,3.2,5650,5375,1705,235,425,2190,2885,3930.0,9010.0,0.65,0.57,3580,1145.0,165,1885.0
371,Temple,Lower NE,Calgary,36,1004,1044,3,6640,938,7578,3,severe,1529,86115,0.133252047,2445,7870,1085,75,5820,5660,3.2,6970,4385,1300,120,505,2115,2960,39.6,90.35,0.69,0.62,4360,870.0,90,1505.0
372,Whitehorn,Lower NE,Calgary,38,1061,1103,3,7016,992,8008,4,severe,1707,86115,0.140800093,2335,8480,1200,110,6190,5940,3.3,5575,6230,1920,320,215,2205,3290,4295.0,9790.0,0.68,0.61,4210,1340.0,160,1590.0
373,Scenic Acres,Lower NW,Calgary,8,301,311,2,5991,1069,7060,0,safe,1175,58890,0.141280353,1180,5905,1120,110,4150,4170,2.9,6335,18060,210,125,125,590,1715,4825.0,7140.0,0.68,0.62,3065,690.0,105,325.0
374,Silver Springs,Lower NW,Calgary,8,322,333,2,6416,1145,7561,0,safe,1348,58890,0.151299032,1390,5990,1440,95,4435,4475,2.5,7225,1625,315,60,210,675,1780,5075.0,7520.0,0.68,0.61,3310,545.0,230,570.0
375,Tuscany,Lower NW,Calgary,18,716,740,5,14251,2543,16793,1,mild,6650,58890,0.336050263,5505,12955,1245,85,9710,10075,3.0,14765,4745,855,285,370,1250,2735,10305.0,14290.0,0.77,0.71,7195,1535.0,215,685.0
376,University District,Lower NW,Calgary,1,27,28,0,544,97,641,0,safe,10,58890,0.012820513,310,445,0,0,390,365,3.4,185,215,150,355,0,15,10,420.0,445.0,0.66,0.58,60,75.0,105,215.0
377,University Heights,Lower NW,Calgary,3,100,103,1,1980,353,2334,0,safe,128,58890,0.046697232,330,2025,330,70,1360,1390,2.1,1400,945,345,410,30,130,470,1825.0,2420.0,0.66,0.59,660,195.0,450,590.0
378,Valley Ridge,Lower NW,Calgary,5,201,208,1,4007,715,4722,0,safe,526,58890,0.094498217,1120,3745,675,20,2760,2805,2.9,4150,1395,265,20,110,410,890,3145.0,4440.0,0.69,0.63,2125,235.0,45,180.0
379,Varsity,Lower NW,Calgary,12,463,478,3,9217,1645,10862,1,mild,2782,58890,0.21735439,1635,8435,2330,395,6220,6580,2.3,8605,3695,880,500,155,970,2370,7820.0,11165.0,0.62,0.56,3860,1045.0,690,1455.0
380,beddington-heights,North,Calgary,25,703,730,2,8296,1015,9312,2,severe,1384,101290,0.116892092,2180,8320,1255,90,5885,5955,2.8,7890,3830,800,120,515,1730,3100,4825.0,9665.0,0.72,0.65,4510,1125.0,170,1440.0
381,country-hills,North,Calgary,8,224,233,1,2649,324,2973,1,mild,141,101290,0.03731859,595,2770,395,25,1785,1995,2.7,2250,1440,310,85,85,590,840,1755.0,3185.0,0.76,0.7,1570,325.0,135,300.0
382,coventry-hills,North,Calgary,37,1040,1080,4,12276,1502,13779,3,severe,3030,101290,0.172968704,4420,12320,755,30,8835,8680,3.2,11395,5920,1455,200,555,1885,3720,7500.0,13100.0,0.8,0.74,7780,1115.0,175,1035.0
383,country-hills-village,North,Calgary,5,143,149,0,1689,207,1895,0,safe,57,101290,0.023793069,285,1585,525,15,1045,1365,1.8,1500,855,190,55,30,280,565,1280.0,2130.0,0.67,0.61,1010,210.0,25,265.0
384,evanston,North,Calgary,30,829,862,3,9796,1199,10995,3,severe,1930,101290,0.138019548,3810,9675,460,35,6925,7055,3.1,8615,5155,1165,210,285,990,2195,6985.0,10170.0,0.83,0.76,6245,660.0,95,795.0
385,Harvest Hills,North,Calgary,16,449,466,2,5297,648,5946,1,mild,564,101290,0.07463718,1295,5565,665,30,3790,3765,3.0,5110,2350,425,95,255,995,1910,3355.0,6265.0,0.76,0.69,3395,495.0,125,550.0
386,Hidden Valley,North,Calgary,25,707,735,2,8349,1022,9371,2,severe,1402,101290,0.11763254,2450,8625,800,40,6065,5845,3.1,8160,3635,595,115,295,1335,2495,5640.0,9465.0,0.76,0.7,5255,690.0,65,585.0
387,Panorama Hills,North,Calgary,55,1550,1611,5,18303,2240,20542,5,severe,6736,101290,0.257873433,6345,18065,1615,95,12995,13125,3.3,13155,12490,2515,475,265,2780,5025,11970.0,19780.0,0.76,0.69,10430,1740.0,185,2220.0
388,Sandstone Valley,North,Calgary,13,366,380,1,4320,529,4848,1,mild,375,101290,0.060864844,850,4450,775,90,3030,3135,2.9,3630,2435,275,100,115,920,1605,2790.0,5315.0,0.68,0.63,2615,485.0,35,435.0
389,banff-trail,Nosehill,Calgary,7,166,174,1,2496,383,2880,1,mild,196,72285,0.052016324,370,3090,260,40,2010,1755,2.3,2820,600,155,345,65,285,815,2290.0,3390.0,0.73,0.67,1165,560.0,295,445.0
390,brentwood,Nosehill,Calgary,12,291,305,1,4371,672,5043,2,severe,600,72285,0.091097738,925,4640,850,170,3410,3180,2.3,4535,1660,440,395,105,455,1230,3985.0,5655.0,0.67,0.61,2050,695.0,365,765.0
391,cambrian-heights,Nosehill,Calgary,4,100,105,0,1504,231,1735,1,mild,71,72285,0.031334302,355,1660,195,45,1120,1140,2.4,1825,410,50,20,40,195,515,1195.0,1905.0,0.73,0.65,955,100.0,90,205.0
392,capitol-hill,Nosehill,Calgary,8,184,193,1,2768,425,3194,1,mild,241,72285,0.057688317,570,3245,345,20,2145,2025,2.1,3215,730,145,220,135,380,775,2445.0,3600.0,0.79,0.72,1505,490.0,330,570.0
393,charleswood,Nosehill,Calgary,7,162,169,1,2426,373,2799,1,mild,185,72285,0.050563741,555,2510,480,110,1905,1750,2.5,2830,660,135,165,40,295,570,2235.0,3095.0,0.66,0.59,1110,305.0,165,325.0
394,collingwood,Nosehill,Calgary,4,95,100,0,1434,220,1654,1,mild,65,72285,0.029881718,290,1425,335,115,1020,1135,2.4,1670,450,70,40,30,190,385,1295.0,1875.0,0.68,0.61,735,170.0,105,175.0
395,Greenview,Nosehill,Calgary,4,91,95,0,1361,209,1570,1,mild,58,72285,0.028359964,240,1620,145,45,1065,980,2.0,1345,620,140,75,50,320,550,940.0,1805.0,0.72,0.62,815,200.0,45,315.0
396,Highland Park,Nosehill,Calgary,7,177,186,1,2665,409,3075,1,mild,223,72285,0.055544027,535,3045,385,45,2065,1950,2.0,2975,945,270,90,175,540,960,1975.0,3475.0,0.73,0.65,1480,485.0,110,685.0
397,Highwood,Nosehill,Calgary,4,91,96,0,1371,211,1581,1,mild,59,72285,0.028567476,355,1450,200,65,985,1085,2.3,1785,255,55,30,110,205,455,1050.0,1715.0,0.75,0.71,895,145.0,55,175.0
398,Huntington Hills,Nosehill,Calgary,25,603,631,3,9058,1392,10450,4,severe,2576,72285,0.188766687,2255,9260,1945,180,6735,6915,2.5,9850,3565,785,235,630,2120,3520,5750.0,11385.0,0.68,0.61,5175,1110.0,190,1795.0
399,Mount Pleasent,Nosehill,Calgary,10,243,254,1,3651,561,4212,2,severe,418,72285,0.076087708,925,4130,385,65,2852,2675,2.3,4490,920,220,95,155,435,695,3445.0,4575.0,0.75,0.69,1955,470.0,475,495.0
400,North Haven Upper,Nosehill,Calgary,1,28,29,0,422,65,486,0,safe,6,72285,0.008784672,60,440,120,20,310,325,2.7,530,105,0,0,25,70,185,325.0,575.0,0.74,0.64,320,20.0,0,25.0
401,North Haven,Nosehill,Calgary,4,106,111,0,1587,244,1830,1,mild,79,72285,0.033063568,345,1560,425,60,1125,1265,2.5,1970,405,75,10,70,230,560,1250.0,2040.0,0.65,0.59,840,210.0,45,175.0
402,Queens Park Village,Nosehill,Calgary,1,21,22,0,319,49,368,0,safe,3,72285,0.006640382,130,350,0,0,250,235,3.0,220,260,130,10,10,65,85,200.0,350.0,0.87,0.71,135,90.0,10,145.0
403,Rosemont,Nosehill,Calgary,2,60,63,0,900,138,1038,0,safe,25,72285,0.018745245,200,960,150,45,650,700,2.5,1185,160,30,10,55,105,275,775.0,1155.0,0.73,0.66,545,100.0,40,80.0
404,Thorncliffe,Nosehill,Calgary,16,387,405,2,5815,893,6709,3,severe,1062,72285,0.121186968,1400,6130,1060,165,4480,4280,2.4,6000,2495,615,265,395,1295,2345,3720.0,7365.0,0.7,0.62,3290,710.0,235,1130.0
405,Tuxedo Park,Nosehill,Calgary,9,228,238,1,3419,525,3944,2,severe,367,72285,0.071245763,635,3960,445,110,2665,2485,2.1,3585,1495,395,70,165,980,1150,2690.0,4520.0,0.76,0.69,1865,645.0,345,635.0
406,Winston Heights/Mountview,Nosehill,Calgary,7,161,169,1,2420,372,2791,1,mild,184,72285,0.050425399,475,2680,420,70,1865,1780,2.1,2875,705,130,65,215,500,825,1835.0,3170.0,0.73,0.66,1520,275.0,150,380.0
